Player;Pos;Squad;Min;Non-penalty Expected Goals;Non-penalty Expected Goals/Shot;Expected Assists;Shot-Created Actions;Completed Passes into Penalty Box;Passes Completed %;Key Passes;Successful Dribbles;Successful Dribbles %;Dispossessed;Successful Pressures
Robin Knoche;CB;Union Berlin;3042;0.03;0.09;0.01;0.47;0.06;86.6;0.09;0.15;62.5;0.33;3.93
Gregor Kobel;GK;Stuttgart;2970;0;0;0;0.03;0.03;82.1;0.03;0.03;100;0;0.03
Robin Koch;CB;Leeds United;1132;0.06;0.09;0.02;0.79;0.24;85.6;0.32;0.16;100;0.4;3.81
Giorgi Kochorashvili;CM;Levante;23;0;0.01;0;3.33;0;50;3.33;3.33;100;0;10
Kenan Kodro;FW;Valladolid;459;0.22;0.16;0.02;1.37;0;71.9;0.78;0.59;30;1.76;2.16
Kenan Kodro;FW;Athletic Club;44;0;0.02;0;4;0;75;0;0;0;0;2
Dominik Kohr;CM;Mainz 05;1268;0.06;0.06;0.09;1.42;0.43;76.1;0.43;0.21;50;0.99;7.09
Dominik Kohr;CM;Eintracht Frankfurt;260;0.17;0.11;0;1.38;0.34;76.9;0.34;1.03;100;1.38;9.66
Koba Koindredi;CM;Valencia;15;0;0;0;0;0;81.8;0;0;0;0;15
Koke;CM;Atlético Madrid;3021;0.06;0.11;0.08;2.14;1.07;87.7;1.13;0.83;70;0.8;5.27
Aleksandr Kokorin;FW;Fiorentina;94;0;0;0;0;0;84.4;0;0;0;0;0
Aleksandar Kolarov;FB;Inter;390;0.02;0.02;0.21;3.49;1.63;85.7;1.4;0;0;0;3.26
Sead Kolašinac;FB;Arsenal;90;0;0;0;0;1;84.4;0;0;0;0;1
Sead Kolašinac;FB;Schalke 04;1426;0.03;0.06;0.1;1.27;0.57;79.3;0.76;1.08;60.7;0.44;3.35
Randal Kolo Muani;FW;Nantes;3029;0.3;0.16;0.18;2.61;0.45;68.3;1.04;1.66;50.5;2.76;4.69
Timothée Kolodziejczak;CB;Saint-Étienne;2036;0.04;0.07;0.02;0.62;0.22;84.2;0.13;0.09;50;0.18;3.27
Ghislain Konan;FB;Reims;2613;0.01;0.04;0.04;1.48;0.79;79.3;0.69;1.66;70.6;1.14;2.93
Ibrahima Konaté;CB;RB Leipzig;695;0.06;0.1;0;0.13;0;86.4;0;0.78;85.7;0.65;1.95
Moussa Konaté;FW;Dijon;1196;0.29;0.11;0.07;1.43;0.53;73.5;0.45;0.45;54.5;1.13;3.01
Geoffrey Kondogbia;CM;Atlético Madrid;611;0.03;0.03;0.04;1.47;0.59;86.6;0.59;1.03;63.6;0.29;8.38
Geoffrey Kondogbia;CM;Valencia;440;0.02;0.02;0;1.02;0;85.2;0;1.22;66.7;0.61;7.55
Lamine Koné;CB;Strasbourg;1042;0.06;0.08;0;0.34;0;82.2;0.09;0;0;0.17;1.98
Moussa Koné;FW;Nîmes;1755;0.34;0.22;0.07;1.03;0.15;77.7;0.51;1.74;60.7;1.79;3.95
Youssouf Koné;FB;Elche;73;0;0;0;0;0;82.8;0;3.75;75;1.25;2.5
Terence Kongolo;CB;Fulham;90;0;0;0;1;1;94.9;1;0;0;0;8
Ezri Konsa;CB;Aston Villa;3196;0.06;0.1;0.01;0.14;0.06;86.5;0.03;0.17;60;0.14;2
Laurent Koscielny;CB;Bordeaux;2218;0.04;0.18;0.05;0.77;0.08;89.9;0.28;0.12;100;0.04;3.25
Filip Kostić;W;Eintracht Frankfurt;2534;0.14;0.08;0.41;4.26;2.45;62.7;3.19;1.21;51.5;1.49;4.96
Márk Kosznovszky;CM;Parma;90;0.3;0.34;0;2;0;97.2;0;0;0;0;1
Christian Kouamé;FW;Fiorentina;995;0.32;0.18;0.11;1.53;0.63;75.2;0.9;1.35;68.2;3.33;4.14
Nianzou Kouassi;CB;Bayern Munich;118;0;0;0;1.54;0;90.7;0;0.77;100;0;2.31
Kalidou Koulibaly;CB;Napoli;2209;0.03;0.07;0.01;0.69;0.29;89.6;0.2;0.49;80;0.2;4.12
Jules Koundé;CB;Sevilla;2975;0.06;0.1;0.02;0.85;0.33;90.7;0.24;0.97;74.4;0.42;3.32
Boubakar Kouyaté;CB;Metz;1964;0.06;0.11;0.01;0.28;0;85.4;0.14;0.18;80;0.28;4.72
Cheikhou Kouyaté;CB;Crystal Palace;3121;0.02;0.11;0.01;0.46;0.09;78.8;0.17;0.17;66.7;0.32;3.14
Mateo Kovačić;CM;Chelsea;1815;0.05;0.04;0.09;2.43;1.19;91;1.14;2.18;81.5;1.49;5.74
Viktor Kovalenko;AM;Atalanta;4;0;0;0;0;0;100;0;0;0;0;2
Emil Krafth;FB;Newcastle Utd;1288;0.01;0.02;0.03;0.98;0.21;72.5;0.42;0.14;33.3;0.28;3.64
Andrej Kramarić;FW;Hoffenheim;2379;0.47;0.14;0.18;3.41;1.63;76.9;1.48;1.55;70.7;1.82;2.65
Christoph Kramer;CM;Mönchengladbach;2033;0.02;0.04;0.05;1.46;0.58;86.7;0.49;1.02;88.5;0.62;5.84
Jean-Philippe Krasso;FW;Saint-Étienne;223;0.08;0.05;0.16;2.4;0.8;65.2;1.2;1.6;57.1;3.6;6.8
Toni Kroos;CM;Real Madrid;2117;0.09;0.07;0.29;4.55;1.49;89.7;2.81;0.72;73.9;0.47;4.85
Filip Krovinović;AM;West Brom;546;0.03;0.03;0.05;2.79;1.15;84.4;0.82;1.31;88.9;1.31;3.61
Rade Krunić;CM;Milan;723;0.09;0.09;0.14;2.25;0.25;86.8;0.88;0.75;60;0.88;5.38
Max Kruse;AM;Union Berlin;1629;0.11;0.09;0.25;3.48;1.33;75.4;2.1;0.83;78.9;1.27;3.43
Lukas Kübler;FB;Freiburg;884;0.01;0.04;0.03;1.02;0.92;67.1;0.41;0.61;66.7;0.61;3.88
Takefusa Kubo;W;Villarreal;299;0.42;0.17;0.15;4.24;1.82;73.4;2.73;3.64;75;2.73;5.15
Takefusa Kubo;W;Getafe;805;0.1;0.06;0.09;2.36;0.56;71.4;1.01;2.25;45.5;2.13;5.96
Juraj Kucka;CM;Parma;2334;0.15;0.07;0.07;1.93;0.42;73.2;0.66;1.24;65.3;1.81;5.71
Kuki;AM;Valladolid;30;0;0;0.33;6.67;0;72.7;3.33;0;0;0;6.67
Dejan Kulusevski;W;Juventus;1923;0.14;0.09;0.3;4.39;1.73;78;2.43;1.64;54.7;2.76;5.42
Marash Kumbulla;CB;Roma;1363;0.06;0.15;0.03;0.46;0;89.9;0.2;0.13;100;0.13;4.97
Pierre Kunde;CM;Mainz 05;513;0.02;0.02;0.16;1.4;0.88;76.2;1.05;0.18;25;0.88;3.68
Fabian Kunze;CM;Arminia;1270;0.04;0.07;0.03;1.13;0.21;78.4;0.35;0.92;72.2;1.21;5.18
Jasmin Kurtić;CM;Parma;2739;0.12;0.11;0.07;1.94;0.99;83.1;0.89;0.53;57.1;0.43;4.64
Layvin Kurzawa;FB;Paris Saint-Germain;1278;0.05;0.06;0.12;1.41;1.2;87.4;0.77;1.2;54.8;1.06;4.3
Dereck Kutesa;W;Reims;687;0.12;0.09;0.11;2.11;0.53;67.3;1.05;2.5;57.6;3.55;3.16
Ahmed Kutucu;FW;Schalke 04;108;0.25;0.13;0;0.83;0;59.5;0.83;2.5;75;1.67;5.83
Enock Kwateng;FB;Bordeaux;1038;0.03;0.07;0.09;1.91;0.52;82.7;0.7;1.04;66.7;0.96;3.3
Antonino La Gumina;FW;Sampdoria;341;0.13;0.04;0;1.05;0.53;68.1;0;1.05;80;1.84;5.53
Gaëtan Laborde;FW;Montpellier;3256;0.32;0.12;0.14;2.15;0.69;66.8;0.99;0.94;54.8;1.46;3.37
Alexandre Lacazette;FW;Arsenal;1923;0.35;0.17;0.13;2.15;0.98;78.2;0.84;0.93;60.6;1.5;5
Tom Lacoux;CM;Bordeaux;523;0.02;0.03;0.02;0.52;0.17;87.8;0.34;1.03;66.7;1.55;9.48
Maxence Lacroix;CB;Wolfsburg;2590;0.06;0.09;0.01;0.69;0.17;84.1;0.14;0.38;73.3;0.38;4.2
Alban Lafont;GK;Nantes;3420;0;0;0;0.03;0.05;57.9;0;0;0;0;0.05
Víctor Laguardia;CB;Alavés;2631;0.04;0.14;0.03;0.41;0.17;77.7;0.17;0;0;0.1;2.53
Konrad Laimer;CM;RB Leipzig;84;0.44;0.13;0;1.11;1.11;76.5;0;0;0;2.22;6.67
Stefan Lainer;FB;Mönchengladbach;2768;0.08;0.1;0.08;1.88;1.07;75.6;1.1;0.62;52.8;1.1;4.42
Diego Lainez;W;Betis;862;0.09;0.07;0.09;2.81;1.15;78.9;1.35;2.81;61.4;3.02;3.75
Kenny Lala;FB;Strasbourg;1834;0.01;0.03;0.2;2.55;1.27;73.8;1.47;0.98;58.8;1.67;3.24
Adam Lallana;AM;Brighton;1596;0.14;0.11;0.16;2.71;1.58;84.7;1.53;0.85;62.5;0.96;6.38
Érik Lamela;W;Tottenham;717;0.17;0.07;0.11;3.25;1.25;78.5;1;2.13;68;2.5;6.13
Sam Lammers;FW;Atalanta;291;0.41;0.14;0.09;3.13;0.94;75.4;1.25;5;80;3.44;3.75
Tariq Lamptey;FB;Brighton;886;0.06;0.09;0.11;2.45;1.22;78;1.12;1.73;50;1.53;4.18
Loïck Landre;CB;Nîmes;1626;0.08;0.16;0;0.39;0;88.9;0.06;0.17;100;0.17;2.32
Michael Langer;GK;Schalke 04;239;0;0;0;0;0;65.8;0;0;0;0;0
Manuel Lanzini;AM;West Ham;566;0.19;0.1;0.14;3.17;0.63;88.9;1.75;1.27;66.7;2.06;5.87
Gianluca Lapadula;FW;Benevento;2563;0.33;0.12;0.14;2.35;0.49;70.9;1.09;0.46;72.2;1.58;2.91
Aymeric Laporte;CB;Manchester City;1344;0.05;0.13;0.05;0.6;0.34;92;0.27;0.2;100;0.13;1.61
Julien Laporte;CB;Lorient;2659;0.01;0.05;0.01;0.58;0.2;86.5;0.2;0.14;80;0.17;3.86
Danilo Larangeira;CB;Bologna;3132;0.02;0.05;0.03;0.49;0.14;81.2;0.17;0.06;66.7;0.06;3.07
Gautier Larsonneur;GK;Brest;3150;0;0;0;0.06;0;79.5;0;0.03;100;0;0.03
Kevin Lasagna;FW;Udinese;1103;0.59;0.17;0.05;1.95;0.57;70.7;0.65;0.57;43.8;1.14;3.33
Kevin Lasagna;FW;Hellas Verona;1267;0.24;0.11;0.08;2.06;0.35;74.6;0.78;0.5;36.8;2.27;3.4
Jamaal Lascelles;CB;Newcastle Utd;1625;0.06;0.07;0;0.22;0.28;81.3;0.06;0.11;66.7;0.06;2.93
Paul Lasne;CM;Brest;1681;0.03;0.1;0.03;0.96;0.27;86.2;0.37;0.16;75;0.37;5.99
Toni Lato;FB;Valencia;728;0.12;0.48;0.04;1.11;0.25;77.2;0.37;0.74;85.7;0.49;4.81
Danny Latza;CM;Mainz 05;1800;0.1;0.09;0.11;1.75;0.35;70.6;1.2;0.8;69.6;1.35;7.25
Armand Lauriente;W;Lorient;1622;0.18;0.05;0.29;4.61;1;75.9;2.17;3;65.9;3.39;4.28
Vincent Laurini;FB;Parma;870;0;0.01;0.01;1.03;1.13;78.9;0.21;0.21;50;0.31;3.3
Lauti;FW;Celta Vigo;14;0;0;0;0;0;100;0;0;0;10;5
Wesley Lautoa;CB;Dijon;1608;0.04;0.08;0.01;0.84;0.45;85.3;0.22;0.45;80;0.84;5.31
Valentino Lazaro;W;Mönchengladbach;1240;0.14;0.13;0.07;2.32;0.65;76.2;1.16;0.87;48;1.01;4.06
Darko Lazović;W;Hellas Verona;2503;0.1;0.09;0.15;2.34;2.05;72.9;1.29;0.65;50;1.04;2.45
Manuel Lazzari;W;Lazio;2613;0.08;0.09;0.13;2.14;1.14;80.5;1.07;0.97;51.9;1;2.45
Jérémy Le Douaron;FW;Brest;816;0.19;0.13;0.05;1.76;0.55;70.1;0.99;0.99;40.9;3.3;4.51
Enzo Le Fée;AM;Lorient;1816;0.06;0.04;0.22;2.72;0.59;78.3;1.53;1.73;57.4;2.28;5.99
Vincent Le Goff;FB;Lorient;2306;0.01;0.03;0.09;1.68;0.94;79;0.78;0.39;52.6;0.63;4.53
Maxime Le Marchand;CB;Fulham;123;0;0.01;0;1.43;0.71;95.1;0;0;0;0;1.43
Robin Le Normand;CB;Real Sociedad;2747;0.07;0.12;0;0.39;0.2;87.7;0.03;0.07;66.7;0.23;2.39
Damien Le Tallec;CM;Montpellier;1227;0.1;0.11;0.02;0.66;0.22;80.2;0.15;0.15;100;0.37;3.9
James Lea Siliki;CM;Rennes;255;0.11;0.04;0;2.5;1.07;77.6;0.36;0.36;20;0.36;5
Rafael Leão;FW;Milan;1924;0.27;0.13;0.21;2.52;1.26;72;1.26;1.64;63.6;1.17;2.48
Jean-Louis Leca;GK;Lens;3313;0;0;0;0.14;0;67.8;0.05;0;0;0;0.11
Mathew Leckie;W;Hertha BSC;506;0.02;0.05;0.11;1.61;1.07;76.2;0.89;0.89;35.7;2.68;6.25
Benjamin Lecomte;GK;Monaco;2520;0;0;0;0;0;76;0;0;0;0;0.04
Jeremías Ledesma;GK;Cádiz;2880;0;0;0;0.19;0;46.3;0;0.06;100;0.03;0
Pierre Lees-Melou;CM;Nice;2063;0.16;0.09;0.06;2.23;0.74;85.5;0.57;0.61;51.9;0.87;6.38
Lucas Leiva;CM;Lazio;2131;0.02;0.04;0.01;1.18;0.55;86.9;0.25;0.25;42.9;0.63;7.22
Florian Lejeune;CB;Alavés;3015;0.07;0.11;0.01;0.51;0.06;80.4;0.18;0.27;81.8;0.18;2.78
Iñigo Lekue;FB;Athletic Club;644;0.01;0.04;0.06;1.94;1.25;79.4;0.83;2.22;57.1;0.83;3.89
Thomas Lemar;AM;Atlético Madrid;1366;0.09;0.06;0.13;2.37;1.38;81.6;1.32;2.7;87.2;1.97;5.59
Mario Lemina;CM;Fulham;1703;0.05;0.05;0.04;1.32;0.79;85.3;0.53;1.48;71.8;1.32;5.56
Fabien Lemoine;CM;Lorient;1934;0.05;0.06;0.05;1.21;0.51;86.3;0.74;0.33;53.8;0.7;7.44
Clément Lenglet;CB;Barcelona;2475;0.05;0.13;0.03;0.95;0.62;92.8;0.25;0.4;68.8;0.18;4.44
Bernd Leno;GK;Arsenal;3131;0;0;0;0.03;0;79.8;0;0;0;0;0.06
Christopher Lenz;FB;Union Berlin;2248;0.04;0.06;0.08;1.88;1.2;72.8;0.76;0.52;61.9;0.8;5.2
Pedro León;W;Eibar;935;0.13;0.06;0.22;2.5;1.63;58.6;1.63;1.35;66.7;0.48;4.81
Sergio León;FW;Levante;748;0.28;0.13;0.04;2.05;0.36;70.8;0.72;0.96;50;1.57;3.98
Lukas Lerager;CM;Genoa;1159;0.04;0.11;0.03;1.4;0.31;82.7;0.62;0.78;62.5;0.62;4.65
Mehdi Léris;CM;Sampdoria;386;0.02;0.04;0.07;3.02;1.16;78;1.63;1.16;38.5;0.93;6.74
Khanya Leshabela;CM;Leicester City;10;0;0;0;10;0;77.8;0;0;0;0;0
Karlo Letica;GK;Sampdoria;90;0;0;0;0;0;91.2;0;0;0;0;0
Gaetano Letizia;FB;Benevento;1570;0.02;0.03;0.08;2.13;1.84;75.5;0.8;0.57;52.6;0.4;3.33
Robert Lewandowski;FW;Bayern Munich;2458;0.9;0.19;0.13;2.71;0.95;76.5;1.1;0.92;55.6;1.9;3.85
Jamal Lewis;FB;Newcastle Utd;1837;0.01;0.07;0.08;1.42;0.78;76.2;0.74;0.69;51.9;0.78;3.97
Aaron Leya Iseka;FW;Metz;1008;0.21;0.13;0.06;1.88;0.27;75.9;1.07;1.25;60.9;1.79;2.32
Yanis Lhery;FW;Saint-Étienne;30;0.33;0.05;0;6.67;0;100;0;3.33;100;3.33;0
Dimitri Liénard;CM;Strasbourg;1829;0.05;0.04;0.19;3.6;1.63;73.9;2.22;0.74;65.2;0.84;5.22
Philipp Lienhart;CB;Freiburg;2993;0.06;0.21;0.01;0.39;0.03;85.7;0.09;0.18;60;0.06;1.92
Matthijs de Ligt;CB;Juventus;2220;0.04;0.06;0.02;1.01;0.28;93.2;0.36;0.2;71.4;0.16;3.12
Isaac Lihadji;W;Lille;196;0.27;0.16;0.36;5;0.45;69.4;1.82;4.55;58.8;3.18;6.36
Dimitris Limnios;W;Köln;378;0.14;0.1;0.12;1.19;0.95;63.4;0.95;1.43;50;1.19;5.24
Victor Lindelöf;CB;Manchester Utd;2585;0.02;0.17;0.02;0.31;0.21;91.1;0.21;0.07;50;0.21;2.33
Karol Linetty;CM;Torino;1832;0.04;0.11;0.06;1.76;0.44;82.7;0.78;0.74;48.4;1.52;4.46
Jesse Lingard;AM;West Ham;1421;0.22;0.09;0.09;3.86;1.65;81.3;1.08;1.33;42.9;1.84;4.49
Pol Lirola;FB;Fiorentina;498;0.05;0.17;0.09;1.82;0.73;71.7;1.27;1.45;61.5;1.27;3.45
Pol Lirola;FB;Marseille;1553;0.09;0.16;0.12;1.91;0.98;77.3;1.1;1.97;64.2;1.1;3.87
Jake Livermore;CM;West Brom;1242;0.01;0.05;0.01;0.58;0.14;74.3;0.36;0.14;33.3;0.58;4.86
Diego Llorente;CB;Leeds United;1204;0.05;0.09;0.04;0.45;0.07;85.4;0.3;0.37;100;0.52;6.64
Diego Llorente;CB;Real Sociedad;90;0;0;0;0;0;88.9;0;0;0;0;2
Fernando Llorente;FW;Udinese;713;0.18;0.13;0.05;1.9;0;73.3;0.76;0.38;60;1.39;2.91
Fernando Llorente;FW;Napoli;52;0.17;0.07;0.17;3.33;0;57.1;3.33;1.67;50;1.67;3.33
Marcos Llorente;CM;Atlético Madrid;2956;0.13;0.09;0.16;2.29;1.16;82.5;1.28;1.16;60.3;1.71;5.85
Hugo Lloris;GK;Tottenham;3420;0;0;0;0.03;0;71.5;0;0.03;100;0;0
Giovani Lo Celso;CM;Tottenham;945;0.11;0.08;0.12;2.86;1.05;78.9;1.33;1.33;73.7;2.38;8.67
Stanislav Lobotka;CM;Napoli;154;0;0;0;0.59;0.59;89.8;0;1.18;66.7;0;2.94
Manuel Locatelli;CM;Sassuolo;2883;0.08;0.07;0.11;2.69;1.19;87.5;1.28;0.75;66.7;1.34;4.41
Renan Lodi;FB;Atlético Madrid;1129;0.06;0.06;0.09;2.24;1.2;78;1.2;1.92;80;1.2;5.28
Ruben Loftus-Cheek;CM;Chelsea;60;0;0;0;1.43;0;68.8;0;0;0;1.43;5.71
Ruben Loftus-Cheek;CM;Fulham;1909;0.15;0.08;0.07;2.45;0.57;83.1;0.71;2.22;61.8;1.89;4.72
Niklas Lomb;GK;Leverkusen;135;0;0;0;0;0;80;0;0;0;0;0
Kevin Long;CB;Burnley;637;0.04;0.15;0;0;0.28;71;0;0;0;0;2.82
Shane Long;FW;Southampton;210;0;0.02;0;0;0;64.4;0;1.3;50;3.91;3.04
Matthew Longstaff;CM;Newcastle Utd;377;0;0;0.02;0.48;0.24;79.1;0.48;0.24;100;0.24;5.95
Sean Longstaff;CM;Newcastle Utd;1412;0.09;0.09;0.07;1.34;0.13;79;0.7;0.25;50;0.45;6.31
Ademola Lookman;W;Fulham;2747;0.16;0.07;0.17;3.77;1.38;75.3;1.97;2.69;63.6;2.75;5.11
Anthony Lopes;GK;Lyon;3420;0;0;0;0.03;0.03;82.6;0;0.03;100;0;0.03
Rony Lopes;W;Nice;1783;0.16;0.08;0.17;3.13;1.06;76.1;1.82;1.67;57.9;1.97;4.09
Pedro López Muñoz;FB;Huesca;1067;0.01;0.03;0.07;1.34;1.09;81.8;0.59;0.67;50;0.5;3.78
Adrián López;FW;Osasuna;481;0.25;0.13;0.15;2.83;1.13;72.8;0.94;2.08;55;3.21;1.7
Javi López;FB;Alavés;248;0.04;0.08;0.04;1.07;1.43;77.4;1.07;1.43;57.1;2.5;5.36
Maxime Lopez;CM;Sassuolo;1864;0.08;0.14;0.13;2.67;0.67;80.7;0.67;0.77;61.5;0.58;4.98
Maxime Lopez;CM;Marseille;134;0;0;0.05;2.71;1.35;92.4;0.97;0.67;100;0;4
Pau López;GK;Roma;1817;0;0;0;0;0;80.1;0;0;0;0;0
Roberto López;AM;Real Sociedad;505;0.18;0.07;0.3;3.39;1.07;75.9;1.79;0.54;60;1.25;3.39
Unai López;CM;Athletic Club;1424;0.08;0.05;0.08;2.66;1.08;84;1.08;1.08;77.3;0.95;4.75
Dion Lopy;CM;Reims;256;0.07;0.07;0.04;2.14;1.07;87.2;0.71;2.14;85.7;0.71;4.29
Jordan Lotomba;FB;Nice;2123;0.02;0.05;0.07;1.23;0.55;82;0.59;1.19;56;1.23;3.43
Adrien Louveau;CB;Lens;8;0;0;0;0;0;100;0;0;0;0;0
Imran Louza;CM;Nantes;2379;0.08;0.07;0.08;1.89;0.45;78.5;0.87;0.76;52.6;1.17;5.72
Matteo Lovato;CB;Hellas Verona;1386;0.01;0.05;0.01;0.58;0.13;81.2;0.32;0.19;60;0.19;4.68
Max Lowe;FB;Sheffield Utd;550;0.02;0.03;0.03;1.15;0.82;65;0.49;1.15;70;1.15;6.07
Eduard Löwen;CM;Hertha BSC;85;0;0.04;0;1.11;2.22;74.3;0;1.11;100;3.33;4.44
Matthew Lowton;FB;Burnley;3060;0.02;0.03;0.07;1.44;1.26;68.8;0.71;0.71;66.7;0.68;2.47
Anthony Lozano;FW;Cádiz;1523;0.32;0.15;0.06;1.89;0.59;61.2;0.59;1.36;65.7;2.54;2.49
Hirving Lozano;W;Napoli;1965;0.36;0.13;0.21;3.85;1.28;72.4;1.79;1.28;50;2.02;4.91
Jan Luca Schuler;FW;Schalke 04;40;0.25;0.05;0;0;0;53.8;0;0;0;5;7.5
Jean Lucas;CM;Lyon;172;0.05;0.03;0;3.16;0.53;85.4;0.53;4.21;66.7;1.05;6.32
Jean Lucas;CM;Brest;1011;0.1;0.05;0.1;2.14;0.54;88.9;0.89;1.79;69;1.25;5.89
Anderson Lucoqui;FB;Arminia;1604;0.01;0.02;0.01;0.9;0.34;68.1;0.34;0.73;52;1.07;3.82
Jeison Lucumí;W;Elche;49;0;0;0;0;0;72.7;0;2;50;2;4
Kilian Ludewig;FB;Schalke 04;520;0;0;0.05;1.55;1.38;74.8;0.86;1.03;60;1.03;7.41
José Luis Gayà;FB;Valencia;2846;0.06;0.09;0.15;2.03;1.2;78.2;1.2;1.01;68.1;0.51;3.51
José Luis Morales;FW;Levante;2439;0.28;0.13;0.13;2.29;1.07;68.8;1.22;1.29;46.7;1.99;4.21
José Luis Palomino;CB;Atalanta;2428;0.01;0.1;0.03;0.56;0.11;84;0.33;0.04;100;0.15;5.44
Florentino Luís;CM;Monaco;241;0.04;0.09;0.07;1.48;1.48;85.7;1.11;0.74;66.7;0.74;4.07
Luisinho;FB;Huesca;179;0;0.02;0;1;0.5;84;0;0.5;100;0.5;3.5
Luismi;CM;Elche;168;0;0;0;0.53;0;86.2;0;0.53;100;0.53;3.16
David Luiz;CB;Arsenal;1396;0.06;0.06;0.03;0.65;0.52;83.6;0.13;0.13;50;0.06;2.39
Douglas Luiz;CM;Aston Villa;2781;0.05;0.06;0.05;1.49;0.49;84.8;0.61;0.78;72.7;0.61;5.18
Romelu Lukaku;FW;Inter;2884;0.57;0.21;0.24;3.56;1.22;72.5;1.56;1.19;55.1;1.94;2.5
Dodi Lukebakio;W;Hertha BSC;1855;0.26;0.13;0.12;2.09;0.63;75;1.02;1.94;58.8;2.33;3.2
Saša Lukić;CM;Torino;2106;0.09;0.11;0.07;2.35;0.77;80.3;1.03;0.98;56.1;1.28;5.73
Senad Lulić;W;Lazio;718;0.05;0.07;0.1;1.5;1;72.6;0.5;1.25;66.7;0.88;3.75
John Lundstram;CM;Sheffield Utd;2032;0.06;0.07;0.05;1.64;0.53;81;0.84;0.71;64;0.93;3.32
Sebastiano Luperto;CB;Crotone;1879;0.03;0.13;0.02;0.57;0.05;82.6;0.33;0.24;83.3;0.1;2.73
Andreas Luthe;GK;Union Berlin;2768;0;0;0;0.06;0;71.6;0;0;0;0;0.06
Lyanco;CB;Torino;1959;0.04;0.06;0.01;0.6;0.23;86.4;0.18;0.83;85.7;0.23;2.2
Charalambos Lykogiannis;FB;Cagliari;2418;0.07;0.07;0.06;1.04;0.59;68.8;0.48;0.52;56;0.78;2.49
Yann M'Vila;CM;Saint-Étienne;20;0;0;0;0;0;86.7;0;0;0;0;5
Alexis Mac Allister;AM;Brighton;1115;0.09;0.04;0.19;2.42;1.37;79.4;1.21;1.21;60;1.45;6.85
Darwin Machís;W;Granada;2026;0.18;0.09;0.19;2.53;0.71;61.8;1.16;2.27;59.3;2;3.33
Tim Maciejewski;W;Union Berlin;8;0;0;0;0;0;66.7;0;0;0;0;0
Luca Mack;CM;Stuttgart;6;0;0;0;0;0;66.7;0;0;0;0;20
Yvann Macon;FB;Saint-Étienne;539;0;0.02;0.02;0.83;0.5;75.3;0.17;2.17;86.7;1.67;6.33
James Maddison;AM;Leicester City;2099;0.19;0.06;0.23;4.51;1.5;77.3;2.23;1.37;58.2;1.85;4.03
Mikail Maden;AM;Schalke 04;6;0;0;0;0;0;100;0;0;0;10;0
Pablo Maffeo;FB;Huesca;1964;0.03;0.06;0.09;2.06;1.24;69.6;0.78;1.19;53.1;0.78;4.04
Lisandro Magallán;CB;Crotone;2181;0.05;0.13;0.02;0.7;0.17;83.4;0.41;0.17;66.7;0.29;5
Christian Maggio;FB;Benevento;297;0.03;0.05;0;0.3;0;76.4;0;0.3;25;1.52;4.24
Giulio Maggiore;CM;Spezia;2214;0.21;0.13;0.09;1.46;0.73;70.1;0.57;0.69;45.9;1.1;5.61
Francesco Magnanelli;CM;Sassuolo;440;0.02;0.03;0.06;0.82;0.41;85.1;0.61;0.2;50;0;5.1
Giangiacomo Magnani;CB;Hellas Verona;1510;0.04;0.06;0;0.48;0.18;79.8;0.06;0.18;75;0;5.12
Hugo Magnetti;CM;Brest;603;0.04;0.03;0.06;1.64;0;84.5;0.45;0.9;66.7;0.6;9.25
Harry Maguire;CB;Manchester Utd;3047;0.06;0.06;0.01;0.91;0.24;89;0.21;0.18;46.2;0.29;1.98
Abdallahi Mahmoud;CM;Alavés;66;0;0;0;1.43;0;72.2;1.43;0;0;1.43;5.71
Hicham Mahou;W;Nice;34;0;0;0;2.5;0;66.7;2.5;0;0;0;2.5
Riyad Mahrez;W;Manchester City;1949;0.26;0.1;0.27;3.87;2.4;84.2;1.89;1.66;48.6;1.61;2.72
Arne Maier;CM;Arminia;1034;0.03;0.03;0.12;2;0.87;73;1.04;0.87;76.9;0.87;4.87
Arne Maier;CM;Hertha BSC;30;0;0;0.67;6.67;3.33;95.2;3.33;0;0;0;3.33
Habib Maïga;CM;Metz;2693;0.07;0.08;0.07;2.31;0.3;83.1;0.9;1;63.8;1.37;7.02
Mike Maignan;GK;Lille;3420;0;0;0.01;0.13;0.05;72.6;0.05;0.03;100;0;0.03
Ainsley Maitland-Niles;CM;Arsenal;490;0.02;0.06;0.04;2.04;0.56;78.5;0.56;1.11;42.9;1.48;4.63
Ainsley Maitland-Niles;CM;West Brom;1230;0.05;0.07;0.05;1.31;0.58;76.4;0.36;1.31;51.4;2.34;7.59
Josh Maja;FW;Fulham;810;0.44;0.2;0.07;1.69;0.34;88.2;1.01;1.56;87.5;1.89;3.89
Josh Maja;FW;Bordeaux;804;0.35;0.16;0.12;2;0.44;87.7;0.89;0.67;54.5;1.57;5.06
Radosław Majecki;GK;Monaco;90;0;0;0;0;0;67.6;0;0;0;0;0
Abdul Majeed Waris;FW;Strasbourg;552;0.15;0.1;0;0.98;0.16;75.7;0;1.31;53.3;2.95;2.46
Marco Majouga;W;Nîmes;105;0.17;0.04;0.25;4.17;0;69.7;2.5;1.67;66.7;1.67;1.67
Jean-Victor Makengo;CM;Udinese;522;0.02;0.02;0;0.86;0.34;80.5;0.17;1.03;75;3.1;5
