Player;Pos;Squad;Min;Non-penalty Expected Goals;Non-penalty Expected Goals/Shot;Expected Assists;Shot-Created Actions;Completed Passes into Penalty Box;Passes Completed %;Key Passes;Successful Dribbles;Successful Dribbles %;Dispossessed;Successful Pressures
Miguel Rodríguez;W;Celta Vigo;30;0;0;0;10;0;68.8;0;3.33;100;0;10
Ricardo Rodríguez;FB;Torino;1238;0.04;0.04;0.02;1.16;0.51;84.3;0.43;0.58;61.5;0.36;3.19
Víctor Rodríguez;W;Elche;426;0;0;0.13;1.7;0.43;91.1;0.85;0.43;40;0.85;5.11
Rodrygo;W;Real Madrid;983;0.23;0.1;0.28;3.67;1.56;81;1.56;1.74;44.2;1.83;4.5
Marko Rog;CM;Cagliari;1165;0.02;0.04;0.05;1.71;0.54;87.5;0.7;1.63;87.5;1.4;6.98
Rogério;FB;Sassuolo;1877;0.03;0.03;0.07;1.29;0.86;84.8;0.57;1.15;54.5;0.96;3.54
Luis Rojas;AM;Crotone;104;0;0.04;0;0.83;0;78;0;5.83;50;3.33;5
Alessio Romagnoli;CB;Milan;1907;0.11;0.15;0.02;0.66;0.14;90.5;0.14;0;0;0;2.45
Cristian Romero;CB;Atalanta;2545;0.06;0.13;0.04;0.81;0.25;90.5;0.28;0.35;66.7;0.42;6.11
Oriol Romeu;CM;Southampton;1763;0.02;0.03;0.06;1.79;0.77;82.8;0.71;0.56;84.6;1.12;5.31
Cristiano Ronaldo;FW;Juventus;2802;0.66;0.13;0.09;3.67;1.03;78.5;0.96;1.86;64.4;1.45;1.96
Facundo Roncaglia;FB;Osasuna;1232;0.04;0.04;0.01;1.02;0.29;69.6;0.29;0.22;50;0.44;3.94
Valentin Rongier;CM;Marseille;1887;0.05;0.06;0.05;1.71;0.43;87;0.52;1.1;67.6;0.9;8.24
Marten de Roon;CM;Atalanta;3021;0.02;0.04;0.06;2.05;0.68;87;0.74;0.42;66.7;0.36;6.88
Jérôme Roussillon;FB;Wolfsburg;1229;0.04;0.05;0.11;1.39;0.8;75;1.17;0.88;54.5;1.82;5.11
Nolan Roux;FW;Nîmes;651;0.07;0.05;0.04;0.97;0.69;67.5;0.28;0.42;100;1.67;3.89
Nicolò Rovella;CM;Genoa;1187;0.05;0.06;0.11;2.27;0.91;85;1.36;0.68;75;0.61;5.15
Amir Rrahmani;CB;Napoli;1094;0.05;0.12;0;0.33;0;92;0;0.25;100;0;3.61
Rubén;GK;Osasuna;187;0;0;0;0;0;65.6;0;0;0;0;0
Waldo Rubio;W;Valladolid;375;0.07;0.03;0.02;1.43;0.71;67.8;0.24;1.19;45.5;1.67;5.48
John Ruddy;GK;Wolves;91;0;0;0;0;0;79.2;0;0;0;0;0
Antonio Rüdiger;CB;Chelsea;1710;0.06;0.08;0.02;0.74;0.21;90.7;0.16;0.16;50;0;3.47
Sebastian Rudy;CM;Hoffenheim;1678;0.03;0.04;0.12;2.96;1.29;73.4;1.56;0.48;50;0.86;6.56
Sebastian Rudy;CM;Schalke 04;180;0;0.01;0.05;2;2.5;66.9;1;0.5;100;0.5;4.5
Kevin Rüegg;FB;Hellas Verona;205;0;0.03;0;0.43;0.43;68.3;0;1.74;100;0.87;5.22
Daniele Rugani;CB;Cagliari;1001;0.04;0.13;0;0;0;87.7;0;0.27;100;0.54;4.86
Daniele Rugani;CB;Rennes;90;0;0.04;0.04;0.18;0.18;79.8;0.09;1;100;0;3
Matteo Ruggeri;FB;Atalanta;208;0;0.03;0;1.74;0;81.4;0.43;0.43;50;0;2.61
Mário Rui;FB;Napoli;1669;0.04;0.04;0.11;2.81;1.35;81.5;1.62;0.81;65.2;0.54;3.24
