Nehuén Pérez;DF;Granada
Pablo Piatti;MFFW;Elche
Cristiano Piccini;DF;Valencia
Tomás Pina Isla;MF;Alavés
Yeremi Pino;FWMF;Villarreal
Gerard Piqué;DF;Barcelona
Miralem Pjanić;MF;Barcelona
Óscar Plano;MFFW;Valladolid
Dani Plomer;FW;Granada
Jorge Pombo;FWMF;Cádiz
Pere Pons;MF;Alavés
Francisco Portillo;MFFW;Getafe
Portu;FWMF;Real Sociedad
Sergio Postigo;DF;Levante
Darío Poveda;FW;Getafe
Alejandro Pozo Pozo;DFMF;Eibar
Antonio Puertas;FWMF;Granada
Riqui Puig;MF;Barcelona
Jorge Pulido;DF;Huesca
Domingos Quina;MF;Granada
Quini;DF;Granada
Quique;FWMF;Eibar
Dani Raba;MF;Villarreal
Uroš Račić;MF;Valencia
Nemanja Radoja;MF;Levante
Ivan Rakitić;MF;Sevilla
Jonás Ramalho;DF;Osasuna
Sandro Ramírez;FWMF;Huesca
Sergio Ramos;DF;Real Madrid
Recio;MF;Eibar
Francisco Reis Ferreira;DF;Valencia
Karim Rekik;DF;Sevilla
Álex Remiro;GK;Real Sociedad
Oriol Rey;MF;Valladolid
Ricard;DF;Atlético Madrid
Mikel Rico;MF;Huesca
Emiliano Rigoni;MFFW;Elche
Luis Rioja;MF;Alavés
Rober;DFMF;Levante
Roberto;GK;Valladolid
Sergi Roberto;DF;Barcelona
Joel Robles;GK;Betis
Rubén Rochina;MF;Levante
Rodrigo;FWMF;Betis
Kévin Rodrigues;DFMF;Eibar
Óscar Rodríguez Arnaiz;MFFW;Sevilla
Ángel Rodríguez;FWMF;Getafe
Guido Rodríguez;MF;Betis
Miguel Rodríguez;FWMF;Celta Vigo
Víctor Rodríguez;MF;Elche
Rodrygo;FW;Real Madrid
Facundo Roncaglia;DF;Osasuna
Rubén;GKMF;Osasuna
Waldo Rubio;FW;Valladolid
Aitor Ruibal;FWMF;Betis
Isma Ruiz;MF;Granada
Víctor Ruiz;DF;Betis
Gerónimo Rulli;GK;Villarreal
Modibo Sagnan;DF;Real Sociedad
Borja Sainz;MFFW;Alavés
Salvi;MFFW;Cádiz
Fede San Emeterio;MF;Valladolid
Antonio Sanabria;FW;Betis
Oihan Sancet;FWMF;Athletic Club
Juan Sánchez Miño;DFMF;Elche
Germán Sánchez;DF;Granada
Javi Sánchez;DF;Valladolid
Manuel Sánchez;DF;Osasuna
Manuel Sánchez;DF;Atlético Madrid
Oier Sanjurjo;MF;Osasuna
Ivan Šaponjić;FW;Cádiz
Stefan Savić;DF;Atlético Madrid
Jaime Seoane;MF;Huesca
Edgar Sevikyan;MF;Levante
Sidnei;DF;Betis
David Silva;MF;Real Sociedad
Gastón Silva;DF;Huesca
Rui Silva;GK;Granada
Unai Simón;GK;Athletic Club
Dimitris Siovas;DF;Huesca
Antonio Sivera;GK;Alavés
Rafa Soares;DF;Eibar
Rubén Sobrino;MFFW;Valencia
Rubén Sobrino;FWMF;Cádiz
Augusto Solari;MF;Celta Vigo
Roberto Soldado;FW;Granada
Carlos Soler;MF;Valencia
Son;DF;Levante
David Soria;GK;Getafe
Alberto Soro;FWMF;Granada
Hugo Sotelo;MF;Celta Vigo
Damián Suárez;DF;Getafe
Denis Suárez;MF;Celta Vigo
Luis Suárez;FW;Atlético Madrid
Suso;FW;Sevilla
Tachi;DF;Alavés
Renato Tapia;MF;Celta Vigo
Tomás Tavares;MFDF;Alavés
Álvaro Tejero;DF;Eibar
Cristian Tello;FWMF;Betis
Marc-André ter Stegen;GK;Barcelona
David Timor;MFDF;Getafe
Toño;DF;Levante
Lucas Torreira;MFFW;Atlético Madrid
Óliver Torres;MFFW;Sevilla
Pau Torres;DF;Villarreal
Roberto Torres;MFFW;Osasuna
Lucas Torró;MF;Osasuna
Manu Trigueros;MF;Villarreal
Francisco Trincão;FWMF;Barcelona
Kieran Trippier;DF;Atlético Madrid
Samuel Umtiti;DF;Barcelona
Enes Ünal;FW;Getafe
Tomáš Vaclík;GK;Sevilla
Eugeni Valderrama;FWMF;Huesca
Jesús Vallejo;DF;Granada
Manu Vallejo;FW;Valencia
Federico Valverde;MF;Real Madrid
Raphaël Varane;DF;Real Madrid
Denis Vavro;DF;Huesca
Franco Vázquez;FWMF;Sevilla
Kevin Vázquez;DF;Celta Vigo
Lucas Vázquez;DFFW;Real Madrid
Koke Vegas;GK;Levante
Gabriel Veiga;MFDF;Celta Vigo
Unai Vencedor Paris;MF;Athletic Club
Gonzalo Verdú;DF;Elche
Mikel Vesga;MF;Athletic Club
Rúben Vezo;DF;Levante
Iñigo Vicente;FWMF;Athletic Club
Fede Vico;MFFW;Granada
Aleix Vidal;DF;Sevilla
Nacho Vidal;DF;Osasuna
Toni Villa;MFFW;Valladolid
Asier Villalibre;FW;Athletic Club
Iván Villar;GK;Celta Vigo
Vitolo;MFFW;Atlético Madrid
Šime Vrsaljko;DF;Atlético Madrid
Nikola Vukčević;MF;Levante
Daniel Wass;MFDF;Valencia
Shon Weissman;FW;Valladolid
Iñaki Williams;FW;Athletic Club
Nico Williams;MF;Athletic Club
Jawad El Yamiq;DF;Valladolid
Rubén Yáñez;GK;Getafe
Yoel;GK;Eibar
Okay Yokuşlu;MF;Celta Vigo
Joseba Zaldúa;DF;Real Sociedad
Oier Zarraga;MF;Athletic Club
Igor Zubeldia;DF;Real Sociedad
Martín Zubimendi;MF;Real Sociedad
Martin Ødegaard;MFFW;Real Madrid
