Player;Pos;Squad;Min;Expected Assists;Passes Completed %;Completed Passes into Final third;Yards Progressed From Passes;Shot-Created Dribbles;Successful Dribbles;Successful Dribbles %;Successful Pressures;Interceptions;Tackles Won;Fouls Made;Aerial Duels Won %
Omar Alderete;CB;Hertha BSC;1299;0.01;81.7;3.06;490.8;0;1.18;77.3;3.61;0.97;0.9;1.53;56.5
Toby Alderweireld;CB;Tottenham;2240;0.01;83.7;3.05;302.9;0;0.12;100;2.97;0.6;0.72;0.68;58.1
Iván Alejo;W;Cádiz;827;0.09;56.3;0.98;89.1;0.11;1.63;57.7;5.11;0.22;1.63;3.15;64
Carles Aleñá;CM;Barcelona;48;0;90.5;4;332;0;0;0;2;0;0;8;100
Carles Aleñá;CM;Getafe;1366;0.13;68.9;4.01;169.2;0.26;1.18;66.7;4.14;0.46;0.53;1.32;26
Rúnar Alex Rúnarsson;GK;Arsenal;16;0;63.6;0;255;0;0;0;0;0;0;0;0
Trent Alexander-Arnold;FB;Liverpool;3031;0.24;75.3;6.17;578.6;0.21;1.13;56.7;3.38;1.45;1.07;0.62;22.2
Alfon;W;Celta Vigo;34;0.25;100;2.5;67.5;0;2.5;50;2.5;0;0;0;0
Mohamed Ali Cho;W;Angers;348;0.03;63.8;0.77;70;0;1.28;35.7;10;0.77;2.05;2.05;35.3
Ezgjan Alioski;FB;Leeds United;2461;0.11;80.1;3;304.8;0;0.55;60;5.57;1.32;1.54;1.43;50
Rachid Alioui;FW;Angers;15;0;83.3;5;60;0;5;100;0;0;0;0;0
Alisson;GK;Liverpool;2970;0;85.2;0.21;405.9;0;0.09;100;0.03;0;0;0.03;0
Saturnin Allagbé;GK;Dijon;1080;0;65.9;0.08;441.5;0;0.17;100;0;0;0;0.17;0
Allan;CM;Everton;2051;0.04;85.8;3.99;190.7;0.18;1.23;65.1;8.38;1.01;2.37;1.62;31.6
Dele Alli;AM;Tottenham;620;0.13;80.1;2.46;155.1;0;1.45;45.5;8.41;1.45;2.17;1.45;43.5
Miguel Almirón;AM;Newcastle Utd;2429;0.1;81.1;2.07;100;0.22;1.33;56.3;4.22;1;1.07;0.67;28.6
Marcos Alonso;FB;Chelsea;960;0.1;81.6;1.78;267.9;0;0.65;50;3.83;1.03;0.75;1.21;58.7
Sergio Álvarez;CM;Eibar;1568;0.05;77.8;2.93;132.8;0;0.34;66.7;5.57;0.75;1.32;2.18;47.7
Yeray Álvarez;CB;Athletic Club;1948;0.02;84.4;2.64;317.5;0;0.37;80;2.13;1.81;0.88;0.93;63.3
Bruno Alves;CB;Parma;1632;0.01;86.9;2.32;352.6;0;0.11;50;2.04;0.83;0.33;1.1;86.5
Steven Alzate;CM;Brighton;896;0.05;89.5;3.3;132.1;0.1;0.8;61.5;5.4;0.7;1.5;2;30
Ibrahim Amadou;CM;Angers;1504;0.02;86.5;2.57;177.1;0;0.42;70;6.71;1.74;1.8;2.04;60
Romain Amalfitano;CM;Dijon;116;0;81;3.85;263.1;0;0.77;100;1.54;0.77;0.77;1.54;50
Emmanuel Amankwaa Akurugu;FB;Getafe;45;0;66.7;2;76;0;0;0;2;0;0;0;100
Daniel Amartey;CM;Leicester City;722;0;85.8;2.38;295.3;0;0.13;20;3;1.5;0.75;0.38;58.3
Jordan Amavi;FB;Marseille;813;0.03;80.5;1.67;224.8;0.11;1.44;54.2;1.89;1.44;1.33;1.33;64.7
Thierry Ambrose;FW;Metz;753;0.18;68.8;2.5;91.9;0.36;2.14;56.3;4.64;0.36;0.6;2.74;44.7
Wisdom Amey;CB;Bologna;2;0;100;0;0;0;0;0;1;0;0;0;0
Nadiem Amiri;AM;Leverkusen;1890;0.14;82.8;4.29;185.1;0.19;0.86;48.6;5.19;0.9;0.62;1.05;19.4
