Player;Pos;Squad;Min;Expected Assists;Passes Completed %;Completed Passes into Final third;Yards Progressed From Passes;Shot-Created Dribbles;Successful Dribbles;Successful Dribbles %;Successful Pressures;Interceptions;Tackles Won;Fouls Made;Aerial Duels Won %
Maxime Le Marchand;CB;Fulham;123;0;95.1;2.14;458.6;0;0;0;1.43;0;0.71;2.14;57.1
Robin Le Normand;CB;Real Sociedad;2747;0;87.7;2.07;255;0;0.07;66.7;2.39;1.11;0.69;1.34;69.3
Damien Le Tallec;CM;Montpellier;1227;0.02;80.2;2.65;139.4;0.07;0.15;100;3.9;1.69;0.51;1.47;58.9
James Lea Siliki;CM;Rennes;255;0;77.6;5.71;161.1;0.36;0.36;20;5;0;1.43;1.07;50
Rafael Leão;FW;Milan;1924;0.21;72;0.7;52.3;0.42;1.64;63.6;2.48;0.23;0.37;1.31;46.2
Jean-Louis Leca;GK;Lens;3313;0;67.8;0.38;415.3;0;0;0;0.11;0;0;0.03;0
Mathew Leckie;W;Hertha BSC;506;0.11;76.2;1.07;112.3;0;0.89;35.7;6.25;1.96;1.61;1.96;46.2
Benjamin Lecomte;GK;Monaco;2520;0;76;0.39;467.3;0;0;0;0.04;0;0;0.04;0
Jeremías Ledesma;GK;Cádiz;2880;0;46.3;1.13;640.4;0;0.06;100;0;0;0;0.03;0
Pierre Lees-Melou;CM;Nice;2063;0.06;85.5;4.67;219.1;0.17;0.61;51.9;6.38;1.4;2.05;1.62;40.5
Lucas Leiva;CM;Lazio;2131;0.01;86.9;7.76;325.7;0;0.25;42.9;7.22;1.9;1.9;1.98;54.6
Florian Lejeune;CB;Alavés;3015;0.01;80.4;1.58;309;0;0.27;81.8;2.78;1.73;0.87;0.99;67.5
Iñigo Lekue;FB;Athletic Club;644;0.06;79.4;2.08;324.6;0.28;2.22;57.1;3.89;0.83;1.11;2.36;25
Thomas Lemar;AM;Atlético Madrid;1366;0.13;81.6;4.01;195.6;0.07;2.7;87.2;5.59;0.79;1.25;0.99;41.2
Mario Lemina;CM;Fulham;1703;0.04;85.3;3.17;196.3;0.26;1.48;71.8;5.56;2.28;1.9;1.69;41.3
Fabien Lemoine;CM;Lorient;1934;0.05;86.3;4.28;284.4;0;0.33;53.8;7.44;1.4;2.05;2.74;52.6
Clément Lenglet;CB;Barcelona;2475;0.03;92.8;7.82;497.1;0;0.4;68.8;4.44;1.27;0.91;1.82;60.7
Bernd Leno;GK;Arsenal;3131;0;79.8;0.14;320.5;0;0;0;0.06;0;0;0.06;0
Christopher Lenz;FB;Union Berlin;2248;0.08;72.8;2.88;305.7;0.08;0.52;61.9;5.2;1.32;1.6;1.08;53.3
Pedro León;W;Eibar;935;0.22;58.6;1.06;136.1;0.29;1.35;66.7;4.81;0.48;0.67;0.96;54.3
Sergio León;FW;Levante;748;0.04;70.8;0.72;24;0.6;0.96;50;3.98;0.48;0.36;1.69;25
Lukas Lerager;CM;Genoa;1159;0.03;82.7;3.02;129.4;0;0.78;62.5;4.65;1.01;1.55;1.24;41.7
Mehdi Léris;CM;Sampdoria;386;0.07;78;2.09;204.7;0;1.16;38.5;6.74;2.79;2.09;3.02;50
Khanya Leshabela;CM;Leicester City;10;0;77.8;10;380;0;0;0;0;0;0;0;0
Karlo Letica;GK;Sampdoria;90;0;91.2;0;337;0;0;0;0;0;0;0;0
Gaetano Letizia;FB;Benevento;1570;0.08;75.5;2.3;284;0.06;0.57;52.6;3.33;1.26;1.55;0.86;63.2
Robert Lewandowski;FW;Bayern Munich;2458;0.13;76.5;1.25;56.3;0.18;0.92;55.6;3.85;0.26;0.48;1.5;48.6
Jamal Lewis;FB;Newcastle Utd;1837;0.08;76.2;1.67;222.8;0.05;0.69;51.9;3.97;0.98;1.27;0.88;43.8
Aaron Leya Iseka;FW;Metz;1008;0.06;75.9;0.89;30.4;0.27;1.25;60.9;2.32;0.18;0.45;2.32;36.5
Yanis Lhery;FW;Saint-Étienne;30;0;100;0;0;3.33;3.33;100;0;3.33;0;0;66.7
Dimitri Liénard;CM;Strasbourg;1829;0.19;73.9;4.88;270.5;0.05;0.74;65.2;5.22;1.38;1.53;0.94;33.3
Philipp Lienhart;CB;Freiburg;2993;0.01;85.7;2.28;311.2;0;0.18;60;1.92;1.32;0.45;0.48;58.6
Matthijs de Ligt;CB;Juventus;2220;0.02;93.2;3.97;378;0.04;0.2;71.4;3.12;1.13;0.77;1.62;68.4
Isaac Lihadji;W;Lille;196;0.36;69.4;4.09;211.4;0;4.55;58.8;6.36;0;2.73;1.36;40
Dimitris Limnios;W;Köln;378;0.12;63.4;0.48;109.3;0;1.43;50;5.24;0.24;1.19;1.19;33.3
Victor Lindelöf;CB;Manchester Utd;2585;0.02;91.1;3.45;368.3;0;0.07;50;2.33;1.11;0.56;0.84;65.7
Karol Linetty;CM;Torino;1832;0.06;82.7;2.25;128.7;0.2;0.74;48.4;4.46;0.78;1.47;1.52;34.8
Jesse Lingard;AM;West Ham;1421;0.09;81.3;3.67;144.9;0.13;1.33;42.9;4.49;0.44;0.63;1.39;0
Pol Lirola;FB;Fiorentina;498;0.09;71.7;2.91;252.5;0.18;1.45;61.5;3.45;0.91;0.91;0.73;44.4
Pol Lirola;FB;Marseille;1553;0.12;77.3;2.2;208.8;0.17;1.97;64.2;3.87;1.79;0.87;0.81;62.1
Jake Livermore;CM;West Brom;1242;0.01;74.3;2.1;83.2;0;0.14;33.3;4.86;1.38;1.38;2.17;48.6
Diego Llorente;CB;Leeds United;1204;0.04;85.4;2.09;236.9;0;0.37;100;6.64;3.06;2.01;1.12;60.6
Diego Llorente;CB;Real Sociedad;90;0;88.9;1;236;0;0;0;2;0;0;2;66.7
Fernando Llorente;FW;Udinese;713;0.05;73.3;1.14;39.5;0;0.38;60;2.91;0.51;0.25;2.66;58.8
Fernando Llorente;FW;Napoli;52;0.17;57.1;0;33.3;0;1.67;50;3.33;0;0;5;50
Marcos Llorente;CM;Atlético Madrid;2956;0.16;82.5;2.47;133.2;0.12;1.16;60.3;5.85;0.95;1.34;1.8;39.7
Hugo Lloris;GK;Tottenham;3420;0;71.5;0.16;366.3;0;0.03;100;0;0;0;0;0
Giovani Lo Celso;CM;Tottenham;945;0.12;78.9;4.19;210.1;0;1.33;73.7;8.67;0.76;2.19;1.81;37.9
Stanislav Lobotka;CM;Napoli;154;0;89.8;4.12;201.8;0;1.18;66.7;2.94;0.59;0.59;2.94;50
Manuel Locatelli;CM;Sassuolo;2883;0.11;87.5;9.03;420.9;0.03;0.75;66.7;4.41;1.34;1.63;1.66;54.6
Renan Lodi;FB;Atlético Madrid;1129;0.09;78;1.84;261.5;0.16;1.92;80;5.28;1.84;1.28;1.52;45.5
Ruben Loftus-Cheek;CM;Chelsea;60;0;68.8;1.43;31.4;0;0;0;5.71;1.43;0;1.43;25
Ruben Loftus-Cheek;CM;Fulham;1909;0.07;83.1;2.92;103;0.33;2.22;61.8;4.72;1.08;1.04;1.37;34.7
Niklas Lomb;GK;Leverkusen;135;0;80;0;565.3;0;0;0;0;0;0;0;0
Kevin Long;CB;Burnley;637;0;71;1.27;195.4;0;0;0;2.82;0.56;1.13;1.13;51.2
Shane Long;FW;Southampton;210;0;64.4;1.3;73;0;1.3;50;3.04;0.87;0;3.04;51.7
Matthew Longstaff;CM;Newcastle Utd;377;0.02;79.1;0.95;81.2;0;0.24;100;5.95;1.43;0.71;0.71;54.5
Sean Longstaff;CM;Newcastle Utd;1412;0.07;79;2.61;138.7;0.06;0.25;50;6.31;1.21;1.34;1.46;44.4
Ademola Lookman;W;Fulham;2747;0.17;75.3;1.51;141.3;0.16;2.69;63.6;5.11;0.82;0.98;1.51;16.3
Anthony Lopes;GK;Lyon;3420;0;82.6;0.32;418.1;0;0.03;100;0.03;0;0;0.05;0
Rony Lopes;W;Nice;1783;0.17;76.1;1.62;126.3;0.3;1.67;57.9;4.09;0.76;0.91;0.76;29.6
Pedro López Muñoz;FB;Huesca;1067;0.07;81.8;3.11;332.1;0;0.67;50;3.78;0.84;1.85;1.18;58.6
Adrián López;FW;Osasuna;481;0.15;72.8;1.89;78.7;0.38;2.08;55;1.7;0.19;0.75;0.75;34.8
Javi López;FB;Alavés;248;0.04;77.4;1.43;284.6;0;1.43;57.1;5.36;2.14;1.79;1.07;50
Maxime Lopez;CM;Sassuolo;1864;0.13;80.7;4.67;126;0;0.77;61.5;4.98;1.11;0.92;2.67;25
Maxime Lopez;CM;Marseille;134;0.05;92.4;6.91;273.4;0.19;0.67;100;4;0.67;0;1.16;28.6
Pau López;GK;Roma;1817;0;80.1;0;400.1;0;0;0;0;0;0;0;0
Roberto López;AM;Real Sociedad;505;0.3;75.9;3.93;163.9;0;0.54;60;3.39;0.54;0.36;0.36;38.9
Unai López;CM;Athletic Club;1424;0.08;84;6.33;267.4;0.06;1.08;77.3;4.75;0.7;1.39;1.33;27.6
Dion Lopy;CM;Reims;256;0.04;87.2;2.14;92.1;0.36;2.14;85.7;4.29;1.43;0.36;0;66.7
Jordan Lotomba;FB;Nice;2123;0.07;82;2.71;252.9;0.04;1.19;56;3.43;0.76;0.81;1.19;50
Adrien Louveau;CB;Lens;8;0;100;0;200;0;0;0;0;0;0;0;0
Imran Louza;CM;Nantes;2379;0.08;78.5;4.47;199.5;0;0.76;52.6;5.72;1.74;1.29;1.36;40
Matteo Lovato;CB;Hellas Verona;1386;0.01;81.2;2.21;194.9;0;0.19;60;4.68;1.23;1.17;1.69;62.9
Max Lowe;FB;Sheffield Utd;550;0.03;65;2.3;126.6;0.16;1.15;70;6.07;0.49;2.3;1.64;20.8
Eduard Löwen;CM;Hertha BSC;85;0;74.3;3.33;265.6;0;1.11;100;4.44;1.11;4.44;1.11;0
Matthew Lowton;FB;Burnley;3060;0.07;68.8;3.53;269.9;0.03;0.71;66.7;2.47;1.62;1.06;0.56;61.3
Anthony Lozano;FW;Cádiz;1523;0.06;61.2;1.66;39;0.3;1.36;65.7;2.49;0.18;0.59;2.9;40.7
Hirving Lozano;W;Napoli;1965;0.21;72.4;0.83;66.9;0.32;1.28;50;4.91;0.83;0.92;1.56;40.5
Jan Luca Schuler;FW;Schalke 04;40;0;53.8;0;7.5;0;0;0;7.5;0;2.5;2.5;33.3
Jean Lucas;CM;Lyon;172;0;85.4;5.26;262.1;1.58;4.21;66.7;6.32;1.58;2.11;1.58;33.3
Jean Lucas;CM;Brest;1011;0.1;88.9;3.48;194.6;0.09;1.79;69;5.89;1.52;1.25;1.16;40
Anderson Lucoqui;FB;Arminia;1604;0.01;68.1;2.02;204.9;0.06;0.73;52;3.82;0.9;1.35;1.46;55.4
Jeison Lucumí;W;Elche;49;0;72.7;0;4;0;2;50;4;0;2;2;50
Kilian Ludewig;FB;Schalke 04;520;0.05;74.8;1.72;299.7;0;1.03;60;7.41;0.69;0.86;1.21;41.7
José Luis Gayà;FB;Valencia;2846;0.15;78.2;2.09;235.5;0.06;1.01;68.1;3.51;1.11;1.11;0.98;40.6
José Luis Morales;FW;Levante;2439;0.13;68.8;1.4;83.3;0.18;1.29;46.7;4.21;0.41;0.48;0.63;35.3
José Luis Palomino;CB;Atalanta;2428;0.03;84;3.26;298.3;0;0.04;100;5.44;2.7;1.59;1.81;67.4
Florentino Luís;CM;Monaco;241;0.07;85.7;7.04;228.1;0;0.74;66.7;4.07;1.11;2.96;1.48;66.7
Luisinho;FB;Huesca;179;0;84;2.5;308.5;0;0.5;100;3.5;0.5;0;0;66.7
Luismi;CM;Elche;168;0;86.2;4.21;272.6;0;0.53;100;3.16;1.58;2.11;3.16;100
David Luiz;CB;Arsenal;1396;0.03;83.6;4.26;339.7;0.06;0.13;50;2.39;0.77;0.58;0.97;71.4
Douglas Luiz;CM;Aston Villa;2781;0.05;84.8;4.11;183.5;0;0.78;72.7;5.18;1.07;1.39;1.91;48.2
Romelu Lukaku;FW;Inter;2884;0.24;72.5;1.09;50.6;0.38;1.19;55.1;2.5;0.09;0.16;1.06;37.4
Dodi Lukebakio;W;Hertha BSC;1855;0.12;75;1.12;64.7;0.19;1.94;58.8;3.2;0.44;0.68;1.65;45
Saša Lukić;CM;Torino;2106;0.07;80.3;2.01;110;0.13;0.98;56.1;5.73;0.64;1.2;1.97;31.7
Senad Lulić;W;Lazio;718;0.1;72.6;1.88;193.6;0.25;1.25;66.7;3.75;1;1.25;1.63;78.6
John Lundstram;CM;Sheffield Utd;2032;0.05;81;2.61;148.5;0.04;0.71;64;3.32;0.93;0.53;1.06;54.5
Sebastiano Luperto;CB;Crotone;1879;0.02;82.6;2.63;294.8;0.05;0.24;83.3;2.73;0.86;0.91;1.34;52.8
Andreas Luthe;GK;Union Berlin;2768;0;71.6;0.32;520.6;0;0;0;0.06;0;0;0.03;0
Lyanco;CB;Torino;1959;0.01;86.4;2.94;341.7;0;0.83;85.7;2.2;2.29;0.5;1.1;59.7
Charalambos Lykogiannis;FB;Cagliari;2418;0.06;68.8;2.42;269.8;0;0.52;56;2.49;1.08;0.56;1.08;63.2
Yann M'Vila;CM;Saint-Étienne;20;0;86.7;0;195;0;0;0;5;0;0;0;0
Alexis Mac Allister;AM;Brighton;1115;0.19;79.4;1.94;104.7;0;1.21;60;6.85;0.89;1.45;1.53;29.4
Darwin Machís;W;Granada;2026;0.19;61.8;1.29;94;0.36;2.27;59.3;3.33;1.73;0.84;1.42;20
Tim Maciejewski;W;Union Berlin;8;0;66.7;0;20;0;0;0;0;0;0;0;0
Luca Mack;CM;Stuttgart;6;0;66.7;0;100;0;0;0;20;0;0;0;66.7
Yvann Macon;FB;Saint-Étienne;539;0.02;75.3;2;299;0;2.17;86.7;6.33;0.33;3.17;1.83;52.6
James Maddison;AM;Leicester City;2099;0.23;77.3;3.69;177.9;0.3;1.37;58.2;4.03;0.43;1.16;0.82;14.3
Mikail Maden;AM;Schalke 04;6;0;100;0;0;0;0;0;0;0;0;0;0
Pablo Maffeo;FB;Huesca;1964;0.09;69.6;2.34;253.1;0.32;1.19;53.1;4.04;1.47;1.01;0.55;55.6
Lisandro Magallán;CB;Crotone;2181;0.02;83.4;2.77;318.8;0;0.17;66.7;5;1.49;1.69;2.73;59
Christian Maggio;FB;Benevento;297;0;76.4;1.21;274.8;0;0.3;25;4.24;0.61;1.52;1.82;41.7
Giulio Maggiore;CM;Spezia;2214;0.09;70.1;2.28;112.6;0.08;0.69;45.9;5.61;1.1;1.95;2.36;53.2
Francesco Magnanelli;CM;Sassuolo;440;0.06;85.1;7.14;288.4;0;0.2;50;5.1;1.02;1.63;1.02;21.4
Giangiacomo Magnani;CB;Hellas Verona;1510;0;79.8;1.49;151.1;0.06;0.18;75;5.12;2.86;0.71;2.62;70.2
Hugo Magnetti;CM;Brest;603;0.06;84.5;4.18;208.4;0;0.9;66.7;9.25;1.94;2.39;1.79;54.5
Harry Maguire;CB;Manchester Utd;3047;0.01;89;5.72;364.4;0.03;0.18;46.2;1.98;1.8;0.53;1.18;77.5
Abdallahi Mahmoud;CM;Alavés;66;0;72.2;2.86;87.1;0;0;0;5.71;1.43;2.86;1.43;33.3
Hicham Mahou;W;Nice;34;0;66.7;0;150;0;0;0;2.5;2.5;2.5;7.5;0
Riyad Mahrez;W;Manchester City;1949;0.27;84.2;1.61;144.5;0.23;1.66;48.6;2.72;0.28;0.69;0.6;45.5
Arne Maier;CM;Arminia;1034;0.12;73;1.83;118.7;0;0.87;76.9;4.87;0.78;1.22;0.17;50
Arne Maier;CM;Hertha BSC;30;0.67;95.2;6.67;360;0;0;0;3.33;0;0;3.33;0
Habib Maïga;CM;Metz;2693;0.07;83.1;4.08;194.9;0.13;1;63.8;7.02;1.37;1.87;2.11;56
Mike Maignan;GK;Lille;3420;0.01;72.6;0.29;362.2;0;0.03;100;0.03;0;0;0.05;0
Ainsley Maitland-Niles;CM;Arsenal;490;0.04;78.5;2.78;204.1;0.37;1.11;42.9;4.63;2.41;2.04;1.11;55.6
Ainsley Maitland-Niles;CM;West Brom;1230;0.05;76.4;1.31;95;0;1.31;51.4;7.59;1.82;1.02;0.73;26.7
Josh Maja;FW;Fulham;810;0.07;88.2;0.9;29.7;0.11;1.56;87.5;3.89;0.44;0.67;0.9;37.5
Josh Maja;FW;Bordeaux;804;0.12;87.7;0.44;22;0.44;0.67;54.5;5.06;0.56;0.22;0.89;20
Radosław Majecki;GK;Monaco;90;0;67.6;0;275;0;0;0;0;0;0;0;0
Abdul Majeed Waris;FW;Strasbourg;552;0;75.7;0.66;36.1;0;1.31;53.3;2.46;0.49;0.16;1.48;18.2
Marco Majouga;W;Nîmes;105;0.25;69.7;0.83;48.3;0;1.67;66.7;1.67;0.83;0;2.5;60
Jean-Victor Makengo;CM;Udinese;522;0;80.5;3.1;127.6;0;1.03;75;5;0.52;1.21;2.24;100
Nemanja Maksimović;CM;Getafe;2728;0.04;76.9;1.49;71.6;0.03;0.43;59.1;5.64;1.52;1.16;0.92;49.1
Nikola Maksimović;CB;Napoli;1207;0.01;93.8;2.76;431.6;0;0.3;100;2.91;1.19;0.45;0.45;74
Adilson Malanda;CM;Nîmes;19;0;66.7;0;30;0;0;0;0;0;0;5;100
Filip Malbašić;W;Cádiz;860;0;55.2;0.94;47.3;0.1;0.52;41.7;4.38;0.42;0.83;1.77;16.1
Kévin Malcuit;FB;Fiorentina;207;0.04;70.3;2.17;114.3;0.87;2.17;45.5;3.48;0.87;0.87;1.74;66.7
Kévin Malcuit;FB;Napoli;33;0;87.5;5;210;0;2.5;50;5;5;0;0;33.3
Daniel Maldini;AM;Milan;29;0;88.2;6.67;333.3;3.33;3.33;100;23.3;0;0;13.3;0
Ruslan Malinovskyi;AM;Atalanta;1876;0.47;74.6;4.18;255.5;0.24;2.55;63.1;5.34;0.14;0.82;2.16;50.9
Yunus Mallı;AM;Wolfsburg;58;0.17;84.6;3.33;103.3;0;0;0;0;0;0;0;0
Hugo Mallo;FB;Celta Vigo;2602;0.08;76.9;2.73;337.3;0.03;0.62;52.9;4.12;1;1.28;1.94;52.1
Mickael Malsa;CM;Levante;2338;0.02;85.8;4.12;229.5;0;0.77;71.4;5.15;1.96;1.38;1.38;41.5
Dennis Man;W;Parma;699;0.04;84.3;2.56;128.1;0.38;1.67;76.5;2.95;0.77;0.51;0.77;50
Hianga Mananga Mbock;CM;Brest;458;0;91.4;3.73;139.6;0.2;1.37;77.8;4.51;0.2;0.78;1.57;53.8
Vincent Manceau;FB;Angers;2309;0.05;80.8;2.84;402;0;0.31;61.5;3.85;1.4;0.93;0.62;48.1
Gianluca Mancini;CB;Roma;2852;0.03;88.1;4.61;346.4;0;0.38;80;4.83;2.24;1.26;2.11;64.6
Steve Mandanda;GK;Marseille;3330;0;71.1;0.32;450.7;0;0.08;100;0.05;0;0;0;0
Reinildo Mandava;FB;Lille;2180;0.05;80.5;3.47;285.2;0.04;0.99;64.9;4.92;2.27;2.15;1.53;69.9
Aïssa Mandi;CB;Betis;2392;0;92.1;1.8;382.3;0;0.08;66.7;2.26;1.24;0.75;0.75;66.7
Rolando Mandragora;CM;Udinese;398;0.05;79.4;2.27;128.4;0;0.68;100;3.64;0.68;1.14;1.14;75
Rolando Mandragora;CM;Torino;1525;0.04;81.5;2.96;150.8;0.06;0.59;62.5;5.38;1.12;1.01;1.95;50
Mario Mandžukić;FW;Milan;212;0.04;64.9;0.42;70.8;0;0;0;8.33;0.42;2.08;3.75;52
Sadio Mané;W;Liverpool;2810;0.18;75.4;1.19;92.2;0.32;2.69;59.2;5.06;0.48;1.03;1.73;25.9
Niccolò Manfredini;GK;Benevento;90;0;80.6;0;296;0;0;0;0;0;0;0;0
Eliaquim Mangala;CB;Valencia;321;0;69.5;0.83;125.6;0;0.28;100;2.22;1.11;0.28;1.39;66.7
Orel Mangala;CM;Stuttgart;2109;0.06;84.7;2.95;173.1;0.13;2.65;72.9;3.08;1.15;0.77;1.45;40.9
Thomas Mangani;CM;Angers;2691;0.1;81.7;6.39;361.6;0.03;0.4;63.2;5.75;1.1;1.64;0.57;54.4
Vito Mannone;GK;Monaco;810;0;70;0.11;416.6;0;0;0;0;0;0;0;0
Kostas Manolas;CB;Napoli;2298;0.02;93.5;1.65;303.8;0.04;0.08;100;2.43;1.02;0.82;0.82;60.2
Javier Manquillo;FB;Newcastle Utd;825;0.02;74;1.63;220.3;0;0.43;28.6;3.59;0.87;1.52;0.76;63
Juan Manuel Ramos;FB;Spezia;294;0.06;78.3;0.91;259.1;0;0.91;75;3.03;0.61;0.3;0.91;71.4
Myziane Maolida;FW;Nice;1077;0.14;75.1;1.33;78.4;0.42;2.08;51;3.42;0.42;0.92;1.5;4
Faitout Maouassa;FB;Rennes;1170;0.09;78.2;3.23;284.9;0;1.77;60.5;4;0.92;1.38;1;53.8
Sekou Mara;FW;Bordeaux;229;0.16;56.7;0.4;51.2;0.4;2;83.3;4.8;0;1.2;2.8;71.4
Maranhão;FW;Valladolid;1177;0.05;61.7;0.76;32.9;0.15;1.15;45.5;4.27;0.08;0.31;1.91;31.6
Fernando Marçal;FB;Wolves;623;0.03;82.7;2.17;294.5;0;1.01;77.8;2.9;1.16;0.58;1.74;45
Fernando Marçal;FB;Lyon;78;0;90.1;14.4;547.8;0;0;0;1.11;0;0;1.11;88.9
Marcelo;CB;Real Madrid;1050;0.1;81;6.5;346.3;0.43;1.37;66.7;4.1;0.77;1.45;0.85;27.8
Marcelo;CB;Lyon;2907;0.02;88.8;3.72;369;0;0.09;75;2.07;1.18;0.8;1.18;71.8
Solly March;W;Brighton;1672;0.09;69.8;2.1;232.7;0.22;1.88;64.8;3.82;1.02;1.88;1.4;43.6
Federico Marchetti;GK;Genoa;334;0;82.4;0;388.4;0;0;0;0;0;0;0;0
Riccardo Marchizza;FB;Spezia;1561;0.06;79.6;2.02;233.5;0;0.64;57.9;2.89;1.1;0.69;0.98;62.8
Gian Marco Ferrari;CB;Sassuolo;3014;0.03;92.7;6.6;487.6;0;0.15;45.5;2.36;1.1;0.78;1.22;63.8
Iván Marcone;CM;Elche;2645;0.02;86.7;3.5;221.5;0;0.51;78.9;4.18;1.22;1.63;0.99;61.9
Óscar de Marcos;FB;Athletic Club;1520;0.11;76.3;2.37;219.2;0;0.41;53.8;3.14;1.12;1.01;0.77;40.7
Dario Maresic;CB;Reims;514;0;84;5.44;420.2;0;0;0;2.11;1.05;1.05;1.4;70.6
José Mari;CM;Cádiz;1451;0.02;71;2.17;112.4;0.06;1.3;65.6;5.59;0.93;1.37;1.68;51.7
Pablo Marí;CB;Arsenal;900;0;90.7;2;275.3;0;0.3;100;2.7;0.5;1.1;0.8;64.4
José María Giménez;CB;Atlético Madrid;1765;0.01;88.4;2.6;338.9;0;0.05;50;1.63;1.07;0.77;0.97;69.9
Mariano;FW;Real Madrid;513;0.04;75;0.53;29.3;0.35;2.11;66.7;4.21;0;0.35;1.4;60.6
Jordan Marié;CM;Dijon;1432;0.04;81.6;3.71;159.2;0;0.88;77.8;6.73;1.32;1.82;0.75;51.9
Adrián Marín;FB;Alavés;93;0.5;74.1;3;411;0;0;0;6;1;1;3;75
Adrián Marín;FB;Granada;269;0.03;69.1;3.33;355.3;0;1;100;2.33;2.33;0.67;1;55.6
Răzvan Marin;CM;Cagliari;2965;0.15;81.7;3.47;215.6;0.03;0.97;54.2;4.74;0.79;1.49;1.46;40.5
Guillermo Maripán;CB;Monaco;2089;0;90.4;2.59;397.4;0;0.04;100;2.5;1.12;0.73;0.78;62.4
Marlon;CB;Sassuolo;1742;0.01;96.2;5.62;418.8;0;0.26;71.4;2.16;1.44;0.98;1.34;59.1
Omar Marmoush;FW;Wolfsburg;1;0;100;0;0;0;0;0;0;0;0;0;0
Marquinhos;CB;Paris Saint-Germain;2128;0.03;93.1;6.27;450.4;0;0.08;50;2.71;1.36;0.76;0.59;59.8
Luca Marrone;CB;Crotone;1588;0;87.8;1.14;327.8;0;0.06;50;3.58;0.8;1.08;2.05;61.1
Roger Martí;FW;Levante;2198;0.1;69;1.19;48.8;0.08;0.61;65.2;3.32;0.2;0.53;1.76;24.3
Anthony Martial;FW;Manchester Utd;1480;0.12;82.8;1.59;69.6;0.18;2.07;65.4;2.56;0.24;0.06;0.91;39.5
Aarón Martín;FB;Celta Vigo;1540;0.14;72.2;3.1;310;0;0.88;62.5;2.92;0.99;0.7;1.38;0
Aarón Martín;FB;Mainz 05;262;0.07;80.2;1.81;221.1;0;1.72;71.4;3.1;1.03;0.69;1.4;38.6
Álex Martín;CB;Cádiz;96;0;73.7;1.82;229.1;0;0;0;1.82;1.82;0;0.91;50
Jonas Martin;CM;Rennes;482;0.04;88.5;4.63;237.6;0;0.74;66.7;5.19;1.67;2.04;1.85;66.7
Martinelli;W;Arsenal;589;0.32;79.2;0.31;64.8;0.46;2.46;55.2;4.46;1.23;0.15;1.38;30
Lucas Martínez Quarta;CB;Fiorentina;1483;0.02;82.4;4;348.2;0.12;0.79;65;5.15;2.18;1.88;1.39;50
Emiliano Martínez;GK;Aston Villa;3420;0.01;65.6;0.71;496.7;0;0;0;0.03;0;0;0.03;0
Iñigo Martínez;CB;Athletic Club;2519;0.02;83.6;4;347.7;0;0.21;75;2.39;1.32;0.5;1.07;63.2
Javi Martínez;CM;Osasuna;460;0.1;67.9;1.57;85.9;0.2;0.98;62.5;6.08;0.78;1.76;0.98;54.5
Javi Martínez;CM;Bayern Munich;466;0.04;90.3;6.54;341.9;0;0;0;4.62;2.12;0.96;0.38;74.1
Josep Martinez;GK;RB Leipzig;90;0;75.5;0;366;0;0;0;0;0;0;0;0
Lautaro Martínez;FW;Inter;2561;0.16;72.4;1.3;57.3;0.21;1.3;50.7;4.67;0.98;0.63;2.28;34.4
Pablo Martinez;CM;Nîmes;540;0.02;83.6;3.33;337.2;0;0;0;2.33;1.17;1.33;0.83;53.3
Gelson Martins;W;Monaco;1551;0.16;83.4;1.34;96.7;0.29;2.5;58.1;5.76;0.7;1.28;1.28;29.4
Adam Marušić;W;Lazio;2966;0.07;83.5;2.06;229.2;0.03;0.82;50;2.82;1.45;0.85;0.58;63.2
Sylvain Marveaux;AM;Lorient;200;0;81.2;3.64;160;0.91;1.82;100;6.82;0.45;1.82;0.91;66.7
Marvin;W;Real Madrid;133;0.13;85.2;2;212;0;0;0;7.33;0.67;0.67;0.67;100
Omar Mascarell;CM;Schalke 04;1762;0.03;82.2;2.5;188.9;0;0.71;70;5.61;1.89;1.07;1.33;56.9
Andrea Masiello;CB;Genoa;2563;0.01;85.3;2.56;338.5;0;0.07;66.7;2.95;1.44;0.77;0.53;47.6
Jordi Masip;GK;Valladolid;2250;0;52.1;0.6;474.2;0;0;0;0;0;0;0.04;0
Roberto Massimo;W;Stuttgart;757;0.17;75.6;0.83;117.1;0.48;2.38;50;5.83;1.43;1.67;0.6;47.8
Giuseppe Mastinu;W;Spezia;32;0;75;5;132.5;0;2.5;50;10;2.5;2.5;2.5;0
Arthur Masuaku;FB;West Ham;1006;0.17;80.1;2.23;227.8;0.36;2.68;63.8;3.75;0.54;1.16;0.89;37
Jaime Mata;FW;Getafe;2037;0.05;66.2;0.84;48.5;0.04;0.4;45;3.1;0.49;0.44;3.1;41.5
Juan Mata;AM;Manchester Utd;509;0.14;84;3.16;145.1;0;0.53;75;2.46;0.35;0.35;0.18;25
Pape Matar Sarr;CM;Metz;1594;0.04;85.6;3.5;194.7;0.06;1.02;60;6.61;2.32;1.53;1.36;63.2
Eliot Matazo;CM;Monaco;314;0.14;78.3;0.57;62.3;0.29;0.86;42.9;6;0.57;2.29;1.43;37.5
Jean-Philippe Mateta;FW;Crystal Palace;221;0;60.8;0.4;26.8;0;0.4;50;1.6;0.4;0.4;1.2;50
Jean-Philippe Mateta;FW;Mainz 05;997;0.14;72.2;0.45;27.7;0.45;1.35;60;2.88;0.09;0.45;0.72;41.8
