Player;Pos;Squad;Min
Lee Peltier;FB;West Brom;229
Federico Peluso;CB;Sassuolo;207
Timothee Pembele;CB;Paris Saint-Germain;383
Rubén Peña;FB;Villarreal;1116
Philipp Pentke;GK;Hoffenheim;270
Pepe;FB;Granada;253
Nicolas Pépé;W;Arsenal;1616
Alberto Perea;W;Cádiz;1549
Mathias Pereira Lage;W;Angers;1467
Andreas Pereira;AM;Lazio;543
Danilo Pereira;CM;Paris Saint-Germain;1430
Matheus Pereira;W;West Brom;2577
Pedro Pereira;W;Crotone;2549
Ricardo Pereira;FB;Leicester City;959
Gastón Pereiro;AM;Cagliari;272
Bruno Peres;FB;Roma;1427
Roberto Pereyra;AM;Udinese;2925
Ayoze Pérez;AM;Leicester City;1331
Carles Pérez;W;Roma;773
Iñigo Pérez;CM;Osasuna;1347
Juan Pérez;GK;Osasuna;270
Kike Pérez;CM;Valladolid;1159
Lucas Pérez;FW;Alavés;1759
Luis Pérez;FB;Valladolid;1297
Manuel Perez;CM;Lens;128
Nehuén Pérez;CB;Granada;741
Mattia Perin;GK;Genoa;2879
Ivan Perišić;W;Inter;1795
Romain Perraud;FB;Brest;3140
Lucas Perrin;CB;Marseille;308
Pavao Pervan;GK;Wolfsburg;180
Matteo Pessina;AM;Atalanta;1645
Andrea Petagna;FW;Napoli;964
Nils Petersen;FW;Freiburg;1301
Lukas Petkov;CM;Augsburg;4
Jacopo Petriccione;CM;Crotone;958
Jens Petter Hauge;W;Milan;532
Germán Pezzella;CB;Fiorentina;2743
Giuseppe Pezzella;FB;Parma;1828
Maximilian Philipp;AM;Wolfsburg;1111
Rayan Philippe;FW;Dijon;93
Romain Philippoteaux;W;Nîmes;214
Romain Philippoteaux;W;Brest;581
Kalvin Phillips;CM;Leeds United;2428
Matt Phillips;W;West Brom;1828
Nathaniel Phillips;CB;Liverpool;1456
Jaden Philogene Bidace;W;Aston Villa;1
Krzysztof Piątek;FW;Hertha BSC;1630
Pablo Piatti;W;Elche;361
Cristiano Piccini;FB;Atalanta;59
Cristiano Piccini;FB;Valencia;67
Roberto Piccoli;FW;Spezia;703
Jordan Pickford;GK;Everton;2742
Jérémy Pied;FB;Lille;318
Amos Pieper;CB;Arminia;2682
Ronaël Pierre-Gabriel;FB;Brest;2305
Erik Pieters;FB;Burnley;1266
Tomás Pina Isla;CM;Alavés;2575
Andrea Pinamonti;FW;Inter;169
Yeremi Pino;W;Villarreal;797
Carlo Pinsoglio;GK;Juventus;23
Gerard Piqué;CB;Barcelona;1481
Fabio Pisacane;CB;Cagliari;228
Łukasz Piszczek;FB;Dortmund;455
Marko Pjaca;W;Genoa;1418
Miralem Pjanić;CM;Barcelona;627
Óscar Plano;W;Valladolid;2517
Marvin Plattenhardt;FB;Hertha BSC;1071
Alassane Pléa;FW;Mönchengladbach;1803
Dani Plomer;W;Granada;45
Tommaso Pobega;CM;Spezia;1229
Daniel Podence;W;Wolves;1661
Paul Pogba;CM;Manchester Utd;1897
Joel Pohjanpalo;FW;Union Berlin;851
Joel Pohjanpalo;FW;Leverkusen;6
Andrea Poli;CM;Bologna;383
Matteo Politano;W;Napoli;1908
Jorge Pombo;AM;Cádiz;523
Marin Pongračić;CB;Wolfsburg;575
Pere Pons;CM;Alavés;1186
Nick Pope;GK;Burnley;2880
Manolo Portanova;AM;Genoa;66
Manolo Portanova;AM;Juventus;70
Francisco Portillo;W;Getafe;418
Portu;W;Real Sociedad;2184
Stefan Posch;CB;Hoffenheim;2119
Sergio Postigo;CB;Levante;1623
Yussuf Poulsen;FW;RB Leipzig;1354
Maxime Poundjé;FB;Bordeaux;491
Darío Poveda;FW;Getafe;5
Alejandro Pozo Pozo;FB;Eibar;2190
Dennis Praet;CM;Leicester City;718
Sanjin Prcić;CM;Strasbourg;353
Nicolas de Préville;FW;Bordeaux;1611
Manuel Prietl;CM;Arminia;2517
Grischa Prömel;CM;Union Berlin;1816
Davy Pröpper;CM;Brighton;213
Ivan Provedel;GK;Spezia;2610
Antonio Puertas;W;Granada;2170
Riqui Puig;CM;Barcelona;292
Erick Pulgar;CM;Fiorentina;2002
Jorge Pulido;CB;Huesca;2885
Christian Pulisic;W;Chelsea;1738
Ignacio Pussetto;W;Udinese;754
Fabio Quagliarella;FW;Sampdoria;2204
Robin Quaison;AM;Mainz 05;1476
Domingos Quina;CM;Granada;341
Quini;FB;Granada;1191
Quique;FW;Eibar;167
Dani Raba;W;Villarreal;150
Simone Rabbi;AM;Bologna;35
Adrien Rabiot;CM;Juventus;2313
Uroš Račić;CM;Valencia;2187
Anthony Racioppi;GK;Dijon;1890
Nemanja Radoja;CM;Levante;1121
Nemanja Radonjić;W;Marseille;396
Nemanja Radonjić;W;Hertha BSC;611
Aleksandar Radovanović;CB;Lens;90
Ivan Radovanović;CM;Genoa;2232
Ionuț Radu;GK;Inter;135
Ștefan Radu;CB;Lazio;2458
Rafael;GK;Spezia;207
Rafinha;CM;Paris Saint-Germain;1361
Antonio Raimondo;FW;Bologna;1
Predrag Rajković;GK;Reims;3285
Ivan Rakitić;CM;Sevilla;2233
Jonás Ramalho;CB;Osasuna;304
Benito Raman;W;Schalke 04;1246
Gastón Ramírez;AM;Sampdoria;969
Sandro Ramírez;FW;Huesca;1285
Sergio Ramos;CB;Real Madrid;1275
Aaron Ramsdale;GK;Sheffield Utd;3420
Aaron Ramsey;CM;Juventus;1089
Jacob Ramsey;AM;Aston Villa;626
Kayne Ramsey;FB;Southampton;90
Darren Randolph;GK;West Ham;270
Andrea Ranocchia;CB;Inter;703
Marcus Rashford;W;Manchester Utd;2920
Milot Rashica;W;Werder Bremen;1462
Giacomo Raspadori;FW;Sassuolo;1232
Federico Ravaglia;GK;Bologna;360
Tim Ream;CB;Fulham;630
Ante Rebić;W;Milan;1776
Arkadiusz Reca;W;Crotone;2313
Recio;CM;Eibar;734
Daishawn Redan;FW;Hertha BSC;102
Nathan Redmond;W;Southampton;1738
Harrison Reed;CM;Fulham;2247
Vasco Regini;FB;Sampdoria;88
Sergio Reguilón;FB;Tottenham;2244
Bobby Reid;AM;Fulham;2372
Pepe Reina;GK;Lazio;2610
Jeff Reine-Adélaïde;AM;Nice;1058
Jeff Reine-Adélaïde;AM;Lyon;24
Reinier;AM;Dortmund;257
Francisco Reis Ferreira;CB;Valencia;181
Rocco Reitz;CM;Mönchengladbach;60
Karim Rekik;CB;Sevilla;653
Álex Remiro;GK;Real Sociedad;3420
Panagiotis Retsos;CB;Saint-Étienne;272
Marco Reus;AM;Dortmund;2279
Elvis Rexhbeçaj;CM;Köln;1833
Oriol Rey;CM;Valladolid;15
Gio Reyna;AM;Dortmund;1976
Baptiste Reynet;GK;Nîmes;3420
Bryan Reynolds;FB;Roma;283
Franck Ribéry;W;Fiorentina;2149
Ricard;FB;Atlético Madrid;30
Federico Ricci;W;Sassuolo;4
Giacomo Ricci;FB;Parma;67
Matteo Ricci;CM;Spezia;2229
Declan Rice;CM;West Ham;2879
Chris Richards;CB;Hoffenheim;944
Chris Richards;CB;Bayern Munich;89
Lewis Richardson;AM;Burnley;4
Richarlison;FW;Everton;2861
Marco Richter;W;Augsburg;1416
Mikel Rico;CM;Huesca;2183
Sergio Rico;GK;Paris Saint-Germain;810
Jaïro Riedewald;CM;Crystal Palace;1820
Emiliano Rigoni;W;Elche;1139
Tomás Rincón;CM;Torino;2846
Luis Rioja;W;Alavés;2090
Renaud Ripart;W;Nîmes;3054
Andrea Rispoli;W;Crotone;652
Mihailo Ristić;W;Montpellier;2236
Matt Ritchie;FB;Newcastle Utd;1350
Maxence Rivera;W;Saint-Étienne;239
Emmanuel Rivière;FW;Crotone;640
Rober;CB;Levante;1425
Roberto;GK;Valladolid;1170
Sergi Roberto;FB;Barcelona;946
Tyler Roberts;AM;Leeds United;1340
Andrew Robertson;FB;Liverpool;3383
Antonee Robinson;FB;Fulham;2162
Callum Robinson;FW;West Brom;1560
Jack Robinson;FB;Sheffield Utd;877
Joel Robles;GK;Betis;1620
Hal Robson-Kanu;FW;West Brom;561
Marc Roca;CM;Bayern Munich;177
Christopher Rocchia;FB;Marseille;22
Rubén Rochina;W;Levante;1404
Marek Rodák;GK;Fulham;180
Sebastian Rode;CM;Eintracht Frankfurt;1625
Joe Rodon;CB;Tottenham;733
Rodri;CM;Manchester City;2748
Rodrigo;AM;Leeds United;1288
Rodrigo;AM;Betis;537
Kévin Rodrigues;FB;Eibar;1095
Óscar Rodríguez Arnaiz;AM;Sevilla;511
Ángel Rodríguez;FW;Getafe;1374
Guido Rodríguez;CM;Betis;2864
James Rodríguez;AM;Everton;1764
Jay Rodriguez;FW;Burnley;1265
Miguel Rodríguez;W;Celta Vigo;30
Ricardo Rodríguez;FB;Torino;1238
Víctor Rodríguez;W;Elche;426
Rodrygo;W;Real Madrid;983
Marko Rog;CM;Cagliari;1165
Rogério;FB;Sassuolo;1877
Luis Rojas;AM;Crotone;104
Alessio Romagnoli;CB;Milan;1907
Cristian Romero;CB;Atalanta;2545
Oriol Romeu;CM;Southampton;1763
Cristiano Ronaldo;FW;Juventus;2802
Facundo Roncaglia;FB;Osasuna;1232
Valentin Rongier;CM;Marseille;1887
Marten de Roon;CM;Atalanta;3021
Jérôme Roussillon;FB;Wolfsburg;1229
Nolan Roux;FW;Nîmes;651
Nicolò Rovella;CM;Genoa;1187
Amir Rrahmani;CB;Napoli;1094
Rubén;GK;Osasuna;187
Waldo Rubio;W;Valladolid;375
John Ruddy;GK;Wolves;91
Antonio Rüdiger;CB;Chelsea;1710
Sebastian Rudy;CM;Hoffenheim;1678
Sebastian Rudy;CM;Schalke 04;180
Kevin Rüegg;FB;Hellas Verona;205
Daniele Rugani;CB;Cagliari;1001
Daniele Rugani;CB;Rennes;90
Matteo Ruggeri;FB;Atalanta;208
Mário Rui;FB;Napoli;1669
Aitor Ruibal;W;Betis;1593
Fabián Ruiz Peña;CM;Napoli;2569
Isma Ruiz;CM;Granada;67
Kays Ruiz;CM;Paris Saint-Germain;186
Víctor Ruiz;CB;Betis;2157
Gerónimo Rulli;GK;Villarreal;180
Georginio Rutter;FW;Rennes;44
Georginio Rutter;FW;Hoffenheim;241
Mathew Ryan;GK;Arsenal;270
Mathew Ryan;GK;Brighton;990
Julian Ryerson;FB;Union Berlin;1069
Frederik Rønnow;GK;Schalke 04;945
João Victor Santos Sá;W;Wolfsburg;469
Roli Pereira de Sa;AM;Nantes;56
Idriss Saadi;FW;Strasbourg;125
Youssouf Sabaly;FB;Bordeaux;2909
Mathys Saban;CM;Saint-Étienne;13
Marcel Sabitzer;CM;RB Leipzig;2026
Alexis Saelemaekers;W;Milan;2016
Modibo Sagnan;CB;Real Sociedad;622
Allan Saint-Maximin;W;Newcastle Utd;1560
Borja Sainz;W;Alavés;453
Romain Saïss;CB;Wolves;2407
Bukayo Saka;W;Arsenal;2553
Hiroki Sakai;FB;Marseille;2385
Moïse Sakava;AM;Reims;8
Mamadou Sakho;CB;Crystal Palace;276
Jacopo Sala;FB;Spezia;375
Mohamed Salah;W;Liverpool;3078
Eddy Salcedo;FW;Hellas Verona;755
William Saliba;CB;Nice;1800
Romain Salin;GK;Rennes;1350
Mohammed Salisu;CB;Southampton;844
Roland Sallai;W;Freiburg;1661
Salvi;W;Cádiz;1933
Lazar Samardzic;AM;RB Leipzig;200
Diadie Samassékou;CM;Hoffenheim;2563
Mama Samba Baldé;W;Dijon;2161
Junior Sambia;FB;Montpellier;2448
Frédéric Sammaritano;AM;Dijon;1130
Fede San Emeterio;CM;Valladolid;1460
Antonio Sanabria;FW;Torino;978
Antonio Sanabria;FW;Betis;932
Oihan Sancet;AM;Athletic Club;1035
Renato Sanches;CM;Lille;1270
Juan Sánchez Miño;FB;Elche;495
Alexis Sánchez;FW;Inter;1146
Davinson Sánchez;CB;Tottenham;1486
Germán Sánchez;CB;Granada;2638
Javi Sánchez;CB;Valladolid;921
Manuel Sánchez;FB;Osasuna;976
Manuel Sánchez;FB;Atlético Madrid;49
Robert Sánchez;GK;Brighton;2430
Jadon Sancho;W;Dortmund;2062
Alex Sandro;FB;Juventus;1858
Leroy Sané;W;Bayern Munich;1805
Salif Sané;CB;Schalke 04;1071
Oier Sanjurjo;CM;Osasuna;2084
Mohamed Sankoh;FW;Stuttgart;17
Siriki Sanogo;CM;Benevento;10
Morgan Sanson;CM;Aston Villa;294
Morgan Sanson;CM;Marseille;826
Nicola Sansone;W;Bologna;1169
Baptiste Santamaria;CM;Angers;270
Baptiste Santamaria;CM;Freiburg;2209
Federico Santander;FW;Bologna;37
Davide Santon;FB;Roma;586
Samir Santos;CB;Udinese;2216
Riccardo Saponara;AM;Fiorentina;52
Riccardo Saponara;AM;Spezia;389
Ivan Šaponjić;FW;Cádiz;388
Pablo Sarabia;W;Paris Saint-Germain;1320
Josh Sargent;FW;Werder Bremen;2506
Bouna Sarr;FB;Marseille;76
Bouna Sarr;FB;Bayern Munich;452
Sidy Sarr;CM;Nîmes;463
Marco Sau;FW;Benevento;785
Téji Savanier;CM;Montpellier;2165
Stefan Savić;CB;Atlético Madrid;2953
Romaine Sawyers;CM;West Brom;1487
Gianluca Scamacca;FW;Genoa;1352
Dane Scarlett;FW;Tottenham;1
Fabian Schär;CB;Newcastle Utd;1246
Aurélien Scheidler;FW;Dijon;342
Nicolás Schiappacasse;W;Sassuolo;15
Pasquale Schiattarella;CM;Benevento;2247
Patrik Schick;FW;Leverkusen;1866
Sven Schipplock;FW;Arminia;744
Xaver Schlager;CM;Wolfsburg;2626
Keven Schlotterbeck;CB;Freiburg;1654
Nico Schlotterbeck;CB;Union Berlin;1285
Jeffrey Schlupp;W;Crystal Palace;1428
Kasper Schmeichel;GK;Leicester City;3420
Jonathan Schmid;FB;Freiburg;2393
Romano Schmid;AM;Werder Bremen;1177
Benno Schmitz;FB;Köln;416
Morgan Schneiderlin;CM;Nice;2197
Alessandro Schöpf;W;Schalke 04;942
Jerdy Schouten;CM;Bologna;2512
Nico Schulz;FB;Dortmund;610
Alexander Schwolow;GK;Hertha BSC;2340
Christopher Scott;AM;Bayern Munich;34
Matteo Scozzarella;CM;Parma;153
Simone Scuffet;GK;Udinese;90
Jacopo Segre;CM;Torino;191
Davie Selke;FW;Werder Bremen;813
Malik Sellouki;AM;Nice;66
Matz Sels;GK;Strasbourg;540
Nélson Semedo;FB;Wolves;2983
Léo Sena;CM;Spezia;885
Stefano Sensi;CM;Inter;603
Jaime Seoane;CM;Huesca;2064
Luigi Sepe;GK;Parma;3240
Suat Serdar;CM;Schalke 04;1953
Jean Seri;CM;Bordeaux;707
Femi Seriki;FB;Sheffield Utd;1
Ryan Sessegnon;FB;Hoffenheim;1574
Nils Seufert;CM;Arminia;343
Edgar Sevikyan;W;Levante;8
Stephan El Shaarawy;W;Roma;572
Jamie Shackleton;CM;Leeds United;461
Xherdan Shaqiri;W;Liverpool;556
Billy Sharp;FW;Sheffield Utd;735
Luke Shaw;FB;Manchester Utd;2654
Jonjo Shelvey;CM;Newcastle Utd;2617
Eldor Shomurodov;FW;Genoa;1677
Shola Shoretire;W;Manchester Utd;11
Mahame Siby;CM;Strasbourg;21
Abdoulaye Sidibé;W;Saint-Étienne;11
Djibril Sidibé;FB;Monaco;1980
Sidnei;CB;Betis;697
Kaj Sierhuis;FW;Reims;652
Tim Siersleben;CB;Wolfsburg;34
Gylfi Sigurðsson;AM;Everton;2253
Luca Siligardi;W;Crotone;49
Luca Siligardi;W;Parma;34
Adrien Silva;CM;Sampdoria;1599
André Silva;FW;Eintracht Frankfurt;2760
Bernardo Silva;AM;Manchester City;2065
Caio Henrique Oliveira Silva;FB;Monaco;2368
David Silva;AM;Real Sociedad;1399
Fábio Silva;FW;Wolves;1369
Florent da Silva;CM;Lyon;3
Gabriel Silva;FB;Saint-Étienne;355
Gastón Silva;FB;Huesca;600
Rui Silva;GK;Granada;2880
Thiago Silva;CB;Chelsea;1935
Marco Silvestri;GK;Hellas Verona;3060
Mohamed Simakan;CB;Strasbourg;1615
Giovanni Simeone;FW;Cagliari;1740
Moses Simon;W;Nantes;2324
Unai Simón;GK;Athletic Club;3330
Xavi Simons;CM;Paris Saint-Germain;2
Jóan Símun Edmundsson;AM;Arminia;58
Wilfried Singo;FB;Torino;1854
Daley Sinkgraven;FB;Leverkusen;1570
Dimitris Siovas;CB;Huesca;3071
Tobias Sippel;GK;Mönchengladbach;344
Salvatore Sirigu;GK;Torino;2880
Issouf Sissokho;CM;Bordeaux;78
Ibrahima Sissoko;CM;Strasbourg;2581
Moussa Sissoko;CM;Tottenham;1585
Nelson Sissoko;FB;Saint-Étienne;474
Antonio Sivera;GK;Alavés;71
Jacques Siwe;FW;Dijon;169
Ellyes Skhiri;CM;Köln;2785
Łukasz Skorupski;GK;Bologna;2520
Andreas Skov Olsen;W;Bologna;1179
Robert Skov;W;Hoffenheim;1164
Milan Škriniar;CB;Inter;2777
Steven Skrzybski;W;Schalke 04;419
Petar Škuletić;FW;Montpellier;234
Islam Slimani;FW;Leicester City;20
Islam Slimani;FW;Lyon;579
William Smallbone;CM;Southampton;172
Chris Smalling;CB;Roma;1111
Emile Smith-Rowe;AM;Arsenal;1440
Robert Snodgrass;W;West Brom;526
Robert Snodgrass;W;West Ham;5
Cédric Soares;FB;Arsenal;746
Rafa Soares;FB;Eibar;1134
Rubén Sobrino;FW;Valencia;49
Rubén Sobrino;FW;Cádiz;1113
Simon Sohm;CM;Parma;899
Augusto Solari;W;Celta Vigo;486
Roberto Soldado;FW;Granada;1438
Carlos Soler;CM;Valencia;2735
Yann Sommer;GK;Mönchengladbach;2712
Son;FB;Levante;1106
Brandon Soppy;FB;Rennes;559
David Soria;GK;Getafe;2520
Roberto Soriano;AM;Bologna;3250
Alberto Soro;W;Granada;393
Borna Sosa;FB;Stuttgart;2042
Hugo Sotelo;W;Celta Vigo;1
Florian Sotoca;FW;Lens;2413
Riccardo Sottil;W;Cagliari;1184
Cheick Souaré;CM;Marseille;10
Tomáš Souček;CM;West Ham;3419
Rayan Souici;CB;Saint-Étienne;5
Cebio Soukou;W;Arminia;458
Adama Soumaoro;CB;Bologna;1755
Adama Soumaoro;CB;Lille;145
Boubakary Soumaré;CM;Lille;1919
Yaya Soumaré;W;Lyon;4
Arnaud Souquet;FB;Montpellier;1224
Ansou Sow;FW;Lens;6
Djibril Sow;CM;Eintracht Frankfurt;2175
Saidou Sow;CB;Saint-Étienne;1000
Çağlar Söyüncü;CB;Leicester City;1819
Leonardo Spinazzola;FB;Roma;2124
Marco Sportiello;GK;Atalanta;1261
Mattia Sprocati;W;Parma;22
Jerry St. Juste;CB;Mainz 05;2880
Benjamin Stambouli;CM;Schalke 04;1956
Josip Stanišić;FB;Bayern Munich;90
Niklas Stark;CB;Hertha BSC;2793
Renato Steffen;W;Wolfsburg;1566
Zack Steffen;GK;Manchester City;90
Pascal Stenzel;FB;Stuttgart;1276
Dale Stephens;CM;Burnley;261
Jack Stephens;CB;Southampton;1537
Raheem Sterling;W;Manchester City;2536
Enda Stevens;FB;Sheffield Utd;2700
Lars Stindl;AM;Mönchengladbach;1961
Kevin Stöger;AM;Mainz 05;538
John Stones;CB;Manchester City;1933
Thomas Strakosha;GK;Lazio;810
Tobias Strobl;CM;Augsburg;1846
Kevin Strootman;CM;Genoa;1314
Kevin Strootman;CM;Marseille;233
Pascal Struijk;CB;Leeds United;2075
Jens Stryger Larsen;FB;Udinese;2638
Stefano Sturaro;CM;Hellas Verona;423
Stefano Sturaro;CM;Genoa;445
Damián Suárez;FB;Getafe;2434
Denis Suárez;AM;Celta Vigo;2852
Luis Suárez;FW;Atlético Madrid;2508
Marek Suchý;CB;Augsburg;305
Niklas Süle;CB;Bayern Munich;1505
Suso;W;Sevilla;2210
Bosko Sutalo;CB;Atalanta;233
Mattias Svanberg;CM;Bologna;1852
Abdoulaye Sylla;CB;Nantes;8
Issiaga Sylla;FB;Lens;1116
Eddy Sylvestre;W;Nice;97
Ádám Szalai;FW;Mainz 05;733
Wojciech Szczęsny;GK;Juventus;2677
Frederik Sørensen;CB;Köln;99
Alexander Sørloth;FW;RB Leipzig;1443
Tachi;CB;Alavés;850
Jonathan Tah;CB;Leverkusen;2219
Waniss Taibi;AM;Angers;38
Flavien Tait;CM;Rennes;1368
Adrien Tameze;CM;Hellas Verona;2304
Japhet Tanganga;CB;Tottenham;487
Renato Tapia;CM;Celta Vigo;2701
Edmond Tapsoba;CB;Leverkusen;2652
Matt Targett;FB;Aston Villa;3404
James Tarkowski;CB;Burnley;3240
Ciprian Tătărușanu;GK;Milan;90
Percy Tau;AM;Brighton;103
Niklas Tauer;CM;Mainz 05;69
Heriberto Tavares;W;Brest;43
Sidnei Tavares;CM;Leicester City;85
Tomás Tavares;FB;Alavés;65
Charlie Taylor;FB;Burnley;2426
Neil Taylor;FB;Aston Villa;16
Allan Tchaptchet;CB;Southampton;13
Warren Tchimbembé;W;Metz;495
Aurélien Tchouaméni;CM;Monaco;3063
Álvaro Tejero;FB;Eibar;110
Nathan Tella;W;Southampton;745
Alex Telles;FB;Manchester Utd;690
Andrés Tello;CM;Benevento;413
Cristian Tello;W;Betis;1283
Lino Tempelmann;CM;Freiburg;270
Hidde ter Avest;FB;Udinese;351
Marc-André ter Stegen;GK;Barcelona;2790
Pietro Terracciano;GK;Fiorentina;272
Martin Terrier;W;Rennes;2436
Claudio Terzi;CB;Spezia;1869
Kenny Tete;FB;Fulham;1481
Kenny Tete;FB;Lyon;20
Cedric Teuchert;FW;Union Berlin;754
Florian Thauvin;W;Marseille;2732
Malick Thiaw;CB;Schalke 04;1452
Jan Thielmann;W;Köln;1029
Sada Thioub;W;Angers;1256
William Thomas Fish;CB;Manchester Utd;1
Luke Thomas;FB;Leicester City;969
Romain Thomas;CB;Angers;3024
Adrien Thomasson;AM;Strasbourg;2624
Erik Thommy;W;Stuttgart;313
Morten Thorsby;CM;Sampdoria;2648
Marcus Thuram;W;Mönchengladbach;1731
Khéphren Thuram-Ulie;CM;Nice;1494
Cheikh Tidiane Sabaly;W;Metz;12
Youri Tielemans;CM;Leicester City;3357
Kieran Tierney;FB;Arsenal;2299
Steffen Tigges;FW;Dortmund;56
Guus Til;AM;Freiburg;125
David Timor;CM;Getafe;1395
Jean-Clair Todibo;CB;Nice;1330
Karl Toko Ekambi;W;Lyon;2811
Corentin Tolisso;CM;Bayern Munich;781
Jeremy Toljan;FB;Sassuolo;1490
Rafael Tolói;CB;Atalanta;2537
Takehiro Tomiyasu;CB;Bologna;2715
James Tomkins;CB;Crystal Palace;553
Fikayo Tomori;CB;Chelsea;45
Fikayo Tomori;CB;Milan;1466
Sandro Tonali;CM;Milan;1330
Lorenzo Tonelli;CB;Sampdoria;1782
Toño;FB;Levante;726
Ömer Toprak;CB;Werder Bremen;1940
Tyron Tormin;W;Saint-Étienne;21
Ernesto Torregrossa;FW;Sampdoria;170
Lucas Torreira;CM;Atlético Madrid;518
Ferrán Torres;W;Manchester City;1306
Óliver Torres;CM;Sevilla;1400
Pau Torres;CB;Villarreal;2970
Roberto Torres;AM;Osasuna;1894
Lucas Torró;CM;Osasuna;1548
Jordan Torunarigha;CB;Hertha BSC;969
Cenk Tosun;FW;Everton;48
Abdoulaye Touré;CM;Nantes;1681
Almamy Touré;FB;Eintracht Frankfurt;704
Lucas Tousart;CM;Hertha BSC;2090
Andros Townsend;W;Crystal Palace;2258
Conor Townsend;FB;West Brom;2234
Mattéo Tramoni;W;Cagliari;74
Adama Traoré;W;Wolves;2649
Amadou Traore;W;Bordeaux;304
Bertrand Traoré;W;Aston Villa;2317
Boubacar Traoré;CM;Metz;54
Chaka Traorè;W;Parma;18
Charles Traore;FB;Nantes;1700
Cheick Traoré;FB;Lens;39
Hamari Traoré;FB;Rennes;3000
Ibrahima Traoré;W;Mönchengladbach;98
Ismaël Traoré;CB;Angers;2993
Kevin Trapp;GK;Eintracht Frankfurt;2970
Miguel Trauco;FB;Saint-Étienne;2035
Trézéguet;W;Aston Villa;1166
Manu Trigueros;CM;Villarreal;2527
Christopher Trimmel;FB;Union Berlin;2572
Francisco Trincão;W;Barcelona;706
Alessandro Tripaldelli;FB;Cagliari;300
Kieran Trippier;FB;Atlético Madrid;2475
Leandro Trossard;W;Brighton;2607
Alexis Trouillet;CM;Nice;109
Adrien Truffert;FB;Rennes;1951
Marvin Tshibuabua;CB;Saint-Étienne;43
Kostas Tsimikas;FB;Liverpool;7
Axel Tuanzebe;CB;Manchester Utd;404
Alessandro Tuia;CB;Benevento;1765
Ľubomír Tupta;FW;Hellas Verona;50
Tuta;CB;Eintracht Frankfurt;1459
Iyenoma Udogie;FB;Hellas Verona;170
Matthieu Udol;FB;Metz;1724
Naomichi Ueda;CB;Nîmes;711
Chimuanya Ugochukwu;CM;Rennes;65
Hwang Ui-jo;FW;Bordeaux;2503
Samir Ujkani;GK;Torino;90
Samuel Umtiti;CB;Barcelona;645
Enes Ünal;FW;Getafe;1318
Cengiz Ünder;W;Leicester City;281
Dayot Upamecano;CB;RB Leipzig;2330
Kacper Urbanski;AM;Bologna;2
Mark Uth;AM;Schalke 04;1494
Tomáš Vaclík;GK;Sevilla;450
Eugeni Valderrama;AM;Huesca;115
Lautaro Valenti;CB;Parma;499
Antoine Valerio;CM;Nîmes;70
Borja Valero;CM;Fiorentina;491
Yan Valery;FB;Southampton;103
Jesús Vallejo;CB;Granada;1348
Manu Vallejo;FW;Valencia;950
Federico Valverde;CM;Real Madrid;1330
Raphaël Varane;CB;Real Madrid;2715
Jamie Vardy;FW;Leicester City;2840
Ruben Vargas;W;Augsburg;1612
Denis Vavro;CB;Lazio;32
Denis Vavro;CB;Huesca;611
Franco Vázquez;AM;Sevilla;164
Kevin Vázquez;FB;Celta Vigo;562
Lucas Vázquez;W;Real Madrid;1848
Matías Vecino;CM;Inter;283
Koke Vegas;GK;Levante;90
Gabriel Veiga;CM;Celta Vigo;118
Miloš Veljković;CB;Werder Bremen;1723
Miguel Veloso;CM;Hellas Verona;1316
Joël Veltman;FB;Brighton;2281
Unai Vencedor Paris;CM;Athletic Club;1701
Lorenzo Venuti;FB;Fiorentina;1757
Daniele Verde;W;Spezia;980
Simone Verdi;AM;Torino;1620
Gonzalo Verdú;CB;Elche;2944
Jordan Veretout;CM;Roma;2053
Edoardo Vergani;FW;Bologna;12
Marco Verratti;CM;Paris Saint-Germain;1492
Valerio Verre;CM;Sampdoria;998
Mikel Vesga;CM;Athletic Club;1722
Jannik Vestergaard;CB;Southampton;2574
Rúben Vezo;CB;Levante;2316
Guglielmo Vicario;GK;Cagliari;360
Iñigo Vicente;W;Athletic Club;52
Fede Vico;AM;Granada;767
Aleix Vidal;FB;Sevilla;595
Arturo Vidal;CM;Inter;1138
Clément Vidal;CB;Montpellier;86
Nacho Vidal;FB;Osasuna;2348
Ronaldo Vieira;CM;Hellas Verona;226
Luca Vignali;FB;Spezia;1590
Emanuel Vignato;W;Bologna;1203
Toni Villa;W;Valladolid;969
Asier Villalibre;FW;Athletic Club;1589
Gonzalo Villar;CM;Roma;1859
Iván Villar;GK;Celta Vigo;1781
Rúben Vinagre;FB;Wolves;173
Carlos Vinícius;FW;Tottenham;308
Nicolas Viola;CM;Benevento;1036
João Virgínia;GK;Everton;48
Vitinha;AM;Wolves;520
Vitolo;W;Atlético Madrid;298
Dušan Vlahović;FW;Fiorentina;2923
Michel Vlap;AM;Arminia;371
Andreas Voglsammer;FW;Arminia;1000
Kevin Vogt;CB;Hoffenheim;1841
Mërgim Vojvoda;FB;Torino;1359
Jake Vokins;FB;Southampton;66
Kevin Volland;FW;Monaco;2769
Stefan de Vrij;CB;Inter;2734
Giacomo Vrioni;FW;Juventus;1
Šime Vrsaljko;FB;Atlético Madrid;519
Nikola Vukčević;CM;Levante;810
Miloš Vulić;CM;Crotone;1305
