Player;Pos;Squad;Min
Davide Biraschi;CB;Genoa;915
Yves Bissouma;CM;Brighton;3111
Leonardo Bittencourt;AM;Werder Bremen;1514
Blanco;CM;Real Madrid;220
Alejandro Blanco;W;Valencia;580
Rubén Blanco;GK;Celta Vigo;1637
Ludovic Blas;AM;Nantes;2787
Alejandro Blesa;CM;Levante;11
Jérôme Boateng;CB;Bayern Munich;2368
Antonin Bobichon;CM;Angers;911
Yann Bodiger;CM;Cádiz;251
Jean-Paul Boëtius;AM;Mainz 05;2065
Sacha Boey;FB;Dijon;1863
Sacha Boey;FB;Rennes;124
Jeremie Boga;W;Sassuolo;1785
Melayro Bogarde;CB;Hoffenheim;277
Jayden Bogle;FB;Sheffield Utd;1110
Quentin Boisgard;AM;Lorient;1314
Willy Boly;CB;Wolves;1879
Giacomo Bonaventura;CM;Fiorentina;2256
Federico Bonazzoli;FW;Torino;564
Federico Bonazzoli;FW;Sampdoria;131
Kevin Bonifazi;CB;Udinese;2469
Leonardo Bonucci;CB;Juventus;2028
Elias Bördner;GK;Eintracht Frankfurt;90
Dennis Borkowski;FW;RB Leipzig;11
Sebastiaan Bornauw;CB;Köln;2083
Sven Botman;CB;Lille;3309
Denis Bouanga;W;Saint-Étienne;2720
Hicham Boudaoui;CM;Nice;1736
Ryad Boudebouz;AM;Saint-Étienne;651
Sofiane Boufal;W;Angers;732
Nassim Boujellab;CM;Schalke 04;605
Farid Boulaya;W;Metz;2815
Yassine Bounou;GK;Sevilla;2970
Ismaëlben Boura;FB;Lens;816
Mehdi Bourabia;CM;Sassuolo;528
Benjamin Bourigeaud;CM;Rennes;2552
Edoardo Bove;CM;Roma;11
Jarrod Bowen;W;West Ham;2562
Dedryck Boyata;CB;Hertha BSC;1545
John Boye;CB;Metz;3041
Lucas Boyé;FW;Elche;2694
Can Bozdogan;AM;Schalke 04;651
Umut Bozok;FW;Lorient;61
Jayden Braaf;W;Udinese;116
Domagoj Bradarić;FB;Lille;1263
Robbie Brady;W;Burnley;1052
Martin Braithwaite;FW;Barcelona;1175
Julian Brandt;AM;Dortmund;1495
Darko Brašanac;CM;Osasuna;909
Lilian Brassier;CB;Brest;962
Álvaro Bravo;CM;Granada;15
Claudio Bravo;GK;Betis;1800
Fabian Bredlow;GK;Stuttgart;90
Josip Brekalo;W;Wolfsburg;1814
Gleison Bremer;CB;Torino;2935
Joshua Brenet;FB;Hoffenheim;1
Rhian Brewster;FW;Sheffield Utd;1128
Anthony Briançon;CB;Nîmes;1225
Jimmy Briand;FW;Bordeaux;571
Yan Brice Eteki;CM;Granada;1321
Nathan Broadhead;W;Everton;3
Dylan Bronn;CB;Metz;3412
John Brooks;CB;Wolfsburg;2774
Daniel Brosinski;FB;Mainz 05;1430
Josh Brownhill;CM;Burnley;2813
Marcelo Brozović;CM;Inter;2581
Gastón Brugman;CM;Parma;1616
Juan Brunet;CM;Granada;24
Juan Brunetta;AM;Parma;475
Cédric Brunner;FB;Arminia;2655
Jacob Bruun Larsen;W;Hoffenheim;89
Bryan;W;Sevilla;13
Bryan;W;Eibar;2265
Joe Bryan;FB;Fulham;669
Kean Bryan;CB;Sheffield Utd;1004
Lucas Buadés;W;Nîmes;21
Ante Budimir;FW;Osasuna;1625
Gianluigi Buffon;GK;Juventus;720
Marius Bülter;W;Union Berlin;977
Alessandro Buongiorno;CB;Torino;858
Esteban Burgos;CB;Eibar;1111
Burgui;W;Alavés;21
Jonathan Burkardt;FW;Mainz 05;1373
Nishan Burkart;FW;Freiburg;15
Oliver Burke;FW;Sheffield Utd;1269
Roman Bürki;GK;Dortmund;1665
Dan Burn;CB;Brighton;2061
Patrick Burner;FB;Nice;1
Patrick Burner;FB;Nîmes;1317
Maxime Busi;FB;Parma;1195
Sergio Busquets;CM;Barcelona;2544
Jack Butland;GK;Crystal Palace;90
David Button;GK;West Brom;90
Oskar Buur;FB;Wolves;22
Marcin Bułka;GK;Paris Saint-Germain;90
Erick Cabaco;CB;Getafe;1326
Willy Caballero;GK;Chelsea;90
Jimmy Cabot;W;Angers;942
Martín Cáceres;CB;Fiorentina;2238
Anthony Caci;FB;Strasbourg;2797
Mathieu Cafaro;AM;Reims;2074
Gary Cahill;CB;Crystal Palace;1800
Yannick Cahuzac;CM;Lens;2252
Felipe Caicedo;FW;Lazio;929
Marc-Aurèle Caillard;GK;Metz;361
Tom Cairney;CM;Fulham;759
Cala;CB;Cádiz;2272
Arturo Calabresi;CB;Bologna;20
Arturo Calabresi;CB;Cagliari;14
Davide Calabria;FB;Milan;2647
Riccardo Calafiori;FB;Roma;66
Mattia Caldara;CB;Atalanta;111
Luca Caldirola;CB;Benevento;1572
Duje Ćaleta-Car;CB;Marseille;2813
Hakan Çalhanoğlu;AM;Milan;2614
Kerim Calhanoglu;W;Schalke 04;296
Fabrizio Caligara;CM;Cagliari;183
Daniel Caligiuri;W;Augsburg;2665
José Callejón;W;Fiorentina;664
Jonathan Calleri;FW;Osasuna;1544
Dominic Calvert-Lewin;FW;Everton;2871
Dani Calvo;CB;Elche;1779
Drissa Camara;CM;Parma;15
Mahdi Camara;CM;Saint-Étienne;3290
Eduardo Camavinga;CM;Rennes;2402
José Campaña;CM;Levante;748
Emre Can;CM;Dortmund;2133
Sergio Canales;AM;Betis;2498
João Cancelo;FB;Manchester City;2299
Antonio Candreva;W;Sampdoria;2505
Álex Cantero;W;Levante;237
Ander Capa;FB;Athletic Club;2131
Pierrick Capelle;W;Angers;2053
Étienne Capoue;CM;Villarreal;1185
Elio Capradossi;CB;Spezia;90
Gianluca Caprari;W;Benevento;1865
Francesco Caputo;FW;Sassuolo;1697
Maxence Caqueret;CM;Lyon;1761
Andrea Carboni;CB;Cagliari;1085
Isaac Carcelen;FB;Cádiz;2581
Cárdenas;GK;Levante;720
Irvin Cardona;FW;Brest;2029
Marc Cardona;FW;Osasuna;53
Ian Carlo Poveda;W;Leeds United;355
Diego Carlos;CB;Sevilla;2788
Juan Carlos;AM;Huesca;291
Lionel Carole;FB;Strasbourg;1342
Yannick Carrasco;W;Atlético Madrid;2179
Sergio Carreira;FB;Celta Vigo;259
Guido Carrillo;FW;Elche;1002
Andy Carroll;FW;Newcastle Utd;392
Scott Carson;GK;Manchester City;90
Dani Carvajal;FB;Real Madrid;950
Fabio Carvalho;AM;Fulham;255
William Carvalho;CM;Betis;1223
Casemiro;CM;Real Madrid;2901
Matty Cash;FB;Aston Villa;2372
Kiko Casilla;GK;Leeds United;270
Giuseppe Caso;W;Genoa;54
Moreto Cassamã;CM;Reims;2031
Francesco Cassata;CM;Genoa;204
Timothy Castagne;FB;Leicester City;2345
Koen Casteels;GK;Wolfsburg;2880
Jean-Charles Castelletto;CB;Nantes;1947
Samu Castillejo;W;Milan;1181
Gonzalo Castro;CM;Stuttgart;1729
Jonny Castro;FB;Wolves;495
Gaetano Castrovilli;CM;Fiorentina;2332
Danilo Cataldi;CM;Lazio;568
Ivan Cavaleiro;W;Fulham;2472
Edinson Cavani;FW;Manchester Utd;1375
Dani Ceballos;CM;Arsenal;1615
Federico Ceccherini;CB;Hellas Verona;1738
Federico Ceccherini;CB;Fiorentina;270
Zeki Çelik;FB;Lille;2381
Bersant Celina;AM;Dijon;2298
Fabien Centonze;FB;Metz;3221
Luca Ceppitelli;CB;Cagliari;1465
Alberto Cerri;FW;Cagliari;369
Sava Cestic;CB;Köln;899
Julian Chabot;CB;Spezia;1655
Nassim Chadli;FW;Nîmes;31
Fouad Chafik;FB;Dijon;1622
Mehdi Chahiri;W;Strasbourg;801
Sofian Chakla;CB;Villarreal;13
Sofian Chakla;CB;Getafe;897
Aníbal Chalá;FB;Dijon;744
Trevoh Chalobah;CM;Lorient;2237
Calum Chambers;CB;Arsenal;753
Timothy Chandler;FB;Eintracht Frankfurt;432
Kwon Chang-hoon;W;Freiburg;216
Gaëtan Charbonnier;FW;Brest;1570
Brendan Chardonnet;CB;Brest;2716
Xavier Chavalerin;CM;Reims;2547
Pape Cheikh Diop;CM;Dijon;1089
Chema;CB;Getafe;557
Rayan Cherki;AM;Lyon;698
Denis Cheryshev;W;Valencia;1101
Giorgio Chiellini;CB;Juventus;1386
Federico Chiesa;W;Fiorentina;240
Federico Chiesa;W;Juventus;2210
Ben Chilwell;FB;Chelsea;2286
