Player;Pos;Squad;Min;Goals;Non-penalty Expected Goals;Non-penalty Expected Goals/Shot;Aerial Duels Won;Aerial Duels Won %;Touches Inside Opposition's Penalty Box;Expected Assists;Completed Passes into Penalty Box;Successful Dribbles;Successful Dribbles %;Dispossessed;Successful Pressures
Steeve-Mike Ebongue;CM;Genoa;52;0;0;0;0;0;0;0.83;1.67;0;0;0;11.7
Enzo Ebosse;FB;Angers;260;0;0;0;0.34;33.3;0.69;0.21;0;0;0;0;4.83
Bruno Ecuele Manga;CB;Dijon;3420;0.05;0.04;0.05;3.21;69.7;1;0;0.08;0.26;83.3;0.18;2.29
Simone Edera;W;Torino;52;0;0.33;0.06;0;0;1.67;0.33;0;3.33;100;0;5
Ederson;GK;Manchester City;3240;0;0;0;0;0;0;0.01;0.06;0;0;0;0.03
Kyle Edwards;W;West Brom;118;0;0.08;0.07;0;0;4.62;0;0;0.77;25;1.54;1.54
John Egan;CB;Sheffield Utd;2629;0;0.02;0.05;2.98;60.8;0.89;0.01;0.24;0.07;100;0.03;2.81
Johannes Eggestein;FW;Werder Bremen;33;0;0;0;2.5;100;2.5;0;0;0;0;0;12.5
Maximilian Eggestein;CM;Werder Bremen;2942;0.06;0.03;0.05;1.28;42.4;0.92;0.1;0.83;0.49;55.2;0.89;5.05
Lilian Egloff;AM;Stuttgart;16;0;0;0;0;0;5;0;0;5;100;10;5
Kingsley Ehizibue;FB;Köln;1133;0;0.04;0.05;1.98;65.8;1.03;0.06;0.87;1.51;61.3;1.11;4.76
Albin Ekdal;CM;Sampdoria;2299;0.08;0.03;0.06;1.49;56.7;0.94;0.04;0.2;0.86;88;0.82;6.94
Hugo Ekitike;W;Reims;88;0;0.2;0.06;3;75;7;0;0;2;66.7;5;9
Anthony Elanga;W;Manchester Utd;155;0.59;0.18;0.09;1.18;33.3;3.53;0;0;2.35;57.1;2.35;6.47
Niclas Eliasson;W;Nîmes;1799;0.2;0.2;0.16;1.15;31.9;2.35;0.17;0.8;0.6;46.2;1.3;4.4
Elif Elmas;AM;Napoli;740;0.24;0.22;0.14;0.12;12.5;3.41;0.09;0.49;1.34;64.7;1.59;4.63
Ahmed Elmohamady;FB;Aston Villa;839;0;0.05;0.05;2.9;75;1.51;0.06;2.8;0.43;80;0.75;3.01
Mohamed Elneny;CM;Arsenal;1544;0.06;0.03;0.06;0.47;29.6;0.29;0.01;0.52;0.41;77.8;0.41;3.31
Aritz Elustondo;CB;Real Sociedad;1884;0.05;0.01;0.06;2.82;58.4;0.72;0.01;0.24;0.29;100;0.1;2.54
Nico Elvedi;CB;Mönchengladbach;2536;0.11;0.07;0.16;3.37;65.1;0.64;0.01;0.11;0.07;66.7;0.11;3.19
Rodrigo Ely;CB;Alavés;468;0.19;0.04;0.07;3.08;88.9;1.15;0.02;0.19;0.19;100;0;2.69
Sepe Elye Wahi;FW;Montpellier;555;0.48;0.32;0.17;1.94;46.2;5;0.13;0.32;1.29;42.1;2.1;3.71
Breel Embolo;FW;Mönchengladbach;1440;0.31;0.44;0.18;2.25;36.7;5.94;0.06;0.88;2.56;65.1;3.88;4.13
Emerson;FB;Betis;2991;0.03;0.04;0.11;1.69;60.2;2.56;0.07;1.27;0.69;42.6;0.93;4.85
Manu Emmanuel Gyabuaa;CM;Atalanta;2;0;0;0;0;0;0;0;0;0;0;0;0
Renaud Emond;FW;Nantes;354;0.51;0.33;0.19;3.59;34.1;4.62;0.03;0;0;0;1.54;5.13
Alan Empereur;CB;Hellas Verona;219;0;0.04;0.06;1.25;37.5;0.42;0;0;0;0;0.42;2.5
Youssef En-Nesyri;FW;Sevilla;2311;0.7;0.58;0.19;3.93;55.8;5.6;0.05;0;0.58;42.9;1.21;3.42
Keita Endo;W;Union Berlin;456;0.2;0.24;0.13;1.57;36.4;4.12;0.22;0.59;0.59;42.9;1.96;5.1
Wataru Endo;CM;Stuttgart;2955;0.09;0.07;0.08;2.04;59.3;0.82;0.06;0.7;0.88;64.4;1.86;7.07
Sergi Enrich;FW;Eibar;1404;0.19;0.32;0.12;5.9;47.7;6.15;0.06;0.51;0.77;63.2;1.09;6.73
