Player;Pos;Squad;Min;Goals;Non-penalty Expected Goals;Non-penalty Expected Goals/Shot;Aerial Duels Won;Aerial Duels Won %;Touches Inside Opposition's Penalty Box;Expected Assists;Completed Passes into Penalty Box;Successful Dribbles;Successful Dribbles %;Dispossessed;Successful Pressures
Shane Long;FW;Southampton;210;0;0;0.02;6.52;51.7;3.04;0;0;1.3;50;3.91;3.04
Matthew Longstaff;CM;Newcastle Utd;377;0;0;0;1.43;54.5;0.24;0.02;0.24;0.24;100;0.24;5.95
Sean Longstaff;CM;Newcastle Utd;1412;0;0.09;0.09;0.76;44.4;1.34;0.07;0.13;0.25;50;0.45;6.31
Ademola Lookman;W;Fulham;2747;0.13;0.16;0.07;0.23;16.3;4.72;0.17;1.38;2.69;63.6;2.75;5.11
Anthony Lopes;GK;Lyon;3420;0;0;0;0;0;0;0;0.03;0.03;100;0;0.03
Rony Lopes;W;Nice;1783;0.15;0.16;0.08;0.4;29.6;3.64;0.17;1.06;1.67;57.9;1.97;4.09
Pedro López Muñoz;FB;Huesca;1067;0;0.01;0.03;1.43;58.6;0.5;0.07;1.09;0.67;50;0.5;3.78
Adrián López;FW;Osasuna;481;0.19;0.25;0.13;3.02;34.8;5.47;0.15;1.13;2.08;55;3.21;1.7
Javi López;FB;Alavés;248;0;0.04;0.08;1.07;50;1.07;0.04;1.43;1.43;57.1;2.5;5.36
Maxime Lopez;CM;Sassuolo;1864;0.1;0.08;0.14;0.67;25;0.97;0.13;0.67;0.77;61.5;0.58;4.98
Maxime Lopez;CM;Marseille;134;0;0;0;0.19;28.6;2;0.05;1.35;0.67;100;0;4
Pau López;GK;Roma;1817;0;0;0;0;0;0;0;0;0;0;0;0
Roberto López;AM;Real Sociedad;505;0.54;0.18;0.07;1.25;38.9;1.96;0.3;1.07;0.54;60;1.25;3.39
Unai López;CM;Athletic Club;1424;0.19;0.08;0.05;0.51;27.6;0.82;0.08;1.08;1.08;77.3;0.95;4.75
Dion Lopy;CM;Reims;256;0;0.07;0.07;0.71;66.7;0.71;0.04;1.07;2.14;85.7;0.71;4.29
Jordan Lotomba;FB;Nice;2123;0.04;0.02;0.05;0.97;50;1.4;0.07;0.55;1.19;56;1.23;3.43
Adrien Louveau;CB;Lens;8;0;0;0;0;0;0;0;0;0;0;0;0
Imran Louza;CM;Nantes;2379;0.27;0.08;0.07;0.91;40;1.17;0.08;0.45;0.76;52.6;1.17;5.72
Matteo Lovato;CB;Hellas Verona;1386;0;0.01;0.05;3.64;62.9;0.32;0.01;0.13;0.19;60;0.19;4.68
Max Lowe;FB;Sheffield Utd;550;0;0.02;0.03;0.82;20.8;1.8;0.03;0.82;1.15;70;1.15;6.07
Eduard Löwen;CM;Hertha BSC;85;0;0;0.04;0;0;3.33;0;2.22;1.11;100;3.33;4.44
Matthew Lowton;FB;Burnley;3060;0.03;0.02;0.03;1.12;61.3;0.65;0.07;1.26;0.71;66.7;0.68;2.47
Anthony Lozano;FW;Cádiz;1523;0.18;0.32;0.15;3.37;40.7;4.08;0.06;0.59;1.36;65.7;2.54;2.49
Hirving Lozano;W;Napoli;1965;0.5;0.36;0.13;0.69;40.5;6.88;0.21;1.28;1.28;50;2.02;4.91
Jan Luca Schuler;FW;Schalke 04;40;0;0.25;0.05;10;33.3;2.5;0;0;0;0;5;7.5
Jean Lucas;CM;Lyon;172;0;0.05;0.03;0.53;33.3;1.58;0;0.53;4.21;66.7;1.05;6.32
Jean Lucas;CM;Brest;1011;0;0.1;0.05;0.89;40;1.07;0.1;0.54;1.79;69;1.25;5.89
Anderson Lucoqui;FB;Arminia;1604;0;0.01;0.02;1.74;55.4;0.17;0.01;0.34;0.73;52;1.07;3.82
Jeison Lucumí;W;Elche;49;0;0;0;2;50;0;0;0;2;50;2;4
Kilian Ludewig;FB;Schalke 04;520;0;0;0;0.86;41.7;1.21;0.05;1.38;1.03;60;1.03;7.41
José Luis Gayà;FB;Valencia;2846;0.03;0.06;0.09;0.89;40.6;1.61;0.15;1.2;1.01;68.1;0.51;3.51
José Luis Morales;FW;Levante;2439;0.48;0.28;0.13;0.44;35.3;5.06;0.13;1.07;1.29;46.7;1.99;4.21
José Luis Palomino;CB;Atalanta;2428;0.04;0.01;0.1;3.22;67.4;0.67;0.03;0.11;0.04;100;0.15;5.44
Florentino Luís;CM;Monaco;241;0;0.04;0.09;0.74;66.7;0.37;0.07;1.48;0.74;66.7;0.74;4.07
Luisinho;FB;Huesca;179;0;0;0.02;1;66.7;0.5;0;0.5;0.5;100;0.5;3.5
Luismi;CM;Elche;168;0;0;0;0.53;100;0.53;0;0;0.53;100;0.53;3.16
David Luiz;CB;Arsenal;1396;0.06;0.06;0.06;1.94;71.4;1.23;0.03;0.52;0.13;50;0.06;2.39
Douglas Luiz;CM;Aston Villa;2781;0;0.05;0.06;1.29;48.2;0.71;0.05;0.49;0.78;72.7;0.61;5.18
Romelu Lukaku;FW;Inter;2884;0.75;0.57;0.21;1.16;37.4;7.47;0.24;1.22;1.19;55.1;1.94;2.5
Dodi Lukebakio;W;Hertha BSC;1855;0.24;0.26;0.13;1.31;45;3.93;0.12;0.63;1.94;58.8;2.33;3.2
Saša Lukić;CM;Torino;2106;0.13;0.09;0.11;1.11;31.7;1.92;0.07;0.77;0.98;56.1;1.28;5.73
Senad Lulić;W;Lazio;718;0;0.05;0.07;1.38;78.6;3.13;0.1;1;1.25;66.7;0.88;3.75
John Lundstram;CM;Sheffield Utd;2032;0;0.06;0.07;0.8;54.5;1.46;0.05;0.53;0.71;64;0.93;3.32
Sebastiano Luperto;CB;Crotone;1879;0;0.03;0.13;1.34;52.8;0.53;0.02;0.05;0.24;83.3;0.1;2.73
Andreas Luthe;GK;Union Berlin;2768;0;0;0;0;0;0;0;0;0;0;0;0.06
Lyanco;CB;Torino;1959;0;0.04;0.06;1.97;59.7;0.73;0.01;0.23;0.83;85.7;0.23;2.2
Charalambos Lykogiannis;FB;Cagliari;2418;0.15;0.07;0.07;2.23;63.2;1.04;0.06;0.59;0.52;56;0.78;2.49
Yann M'Vila;CM;Saint-Étienne;20;0;0;0;0;0;0;0;0;0;0;0;5
Alexis Mac Allister;AM;Brighton;1115;0.08;0.09;0.04;0.81;29.4;3.06;0.19;1.37;1.21;60;1.45;6.85
Darwin Machís;W;Granada;2026;0.18;0.18;0.09;0.58;20;2.84;0.19;0.71;2.27;59.3;2;3.33
Tim Maciejewski;W;Union Berlin;8;0;0;0;0;0;10;0;0;0;0;0;0
Luca Mack;CM;Stuttgart;6;0;0;0;20;66.7;0;0;0;0;0;0;20
Yvann Macon;FB;Saint-Étienne;539;0.17;0;0.02;1.67;52.6;0.5;0.02;0.5;2.17;86.7;1.67;6.33
James Maddison;AM;Leicester City;2099;0.34;0.19;0.06;0.13;14.3;2.96;0.23;1.5;1.37;58.2;1.85;4.03
Mikail Maden;AM;Schalke 04;6;0;0;0;0;0;0;0;0;0;0;10;0
Pablo Maffeo;FB;Huesca;1964;0.05;0.03;0.06;1.61;55.6;1.24;0.09;1.24;1.19;53.1;0.78;4.04
Lisandro Magallán;CB;Crotone;2181;0.04;0.05;0.13;1.9;59;0.58;0.02;0.17;0.17;66.7;0.29;5
Christian Maggio;FB;Benevento;297;0;0.03;0.05;1.52;41.7;1.52;0;0;0.3;25;1.52;4.24
Giulio Maggiore;CM;Spezia;2214;0.12;0.21;0.13;1.34;53.2;3.09;0.09;0.73;0.69;45.9;1.1;5.61
Francesco Magnanelli;CM;Sassuolo;440;0;0.02;0.03;0.61;21.4;0;0.06;0.41;0.2;50;0;5.1
Giangiacomo Magnani;CB;Hellas Verona;1510;0;0.04;0.06;5.18;70.2;0.71;0;0.18;0.18;75;0;5.12
Hugo Magnetti;CM;Brest;603;0;0.04;0.03;0.9;54.5;0.45;0.06;0;0.9;66.7;0.6;9.25
Harry Maguire;CB;Manchester Utd;3047;0.06;0.06;0.06;4.28;77.5;1.5;0.01;0.24;0.18;46.2;0.29;1.98
Abdallahi Mahmoud;CM;Alavés;66;0;0;0;1.43;33.3;0;0;0;0;0;1.43;5.71
Hicham Mahou;W;Nice;34;0;0;0;0;0;0;0;0;0;0;0;2.5
Riyad Mahrez;W;Manchester City;1949;0.41;0.26;0.1;0.69;45.5;7.19;0.27;2.4;1.66;48.6;1.61;2.72
Arne Maier;CM;Arminia;1034;0;0.03;0.03;0.43;50;1.3;0.12;0.87;0.87;76.9;0.87;4.87
Arne Maier;CM;Hertha BSC;30;0;0;0;0;0;0;0.67;3.33;0;0;0;3.33
Habib Maïga;CM;Metz;2693;0.03;0.07;0.08;1.4;56;1.1;0.07;0.3;1;63.8;1.37;7.02
Mike Maignan;GK;Lille;3420;0;0;0;0;0;0;0.01;0.05;0.03;100;0;0.03
Ainsley Maitland-Niles;CM;Arsenal;490;0;0.02;0.06;0.93;55.6;1.48;0.04;0.56;1.11;42.9;1.48;4.63
Ainsley Maitland-Niles;CM;West Brom;1230;0;0.05;0.07;0.58;26.7;2.55;0.05;0.58;1.31;51.4;2.34;7.59
Josh Maja;FW;Fulham;810;0.33;0.44;0.2;1.35;37.5;4.22;0.07;0.34;1.56;87.5;1.89;3.89
Josh Maja;FW;Bordeaux;804;0.22;0.35;0.16;1;20;3.37;0.12;0.44;0.67;54.5;1.57;5.06
Radosław Majecki;GK;Monaco;90;0;0;0;0;0;0;0;0;0;0;0;0
Abdul Majeed Waris;FW;Strasbourg;552;0.16;0.15;0.1;0.33;18.2;3.77;0;0.16;1.31;53.3;2.95;2.46
Marco Majouga;W;Nîmes;105;0;0.17;0.04;2.5;60;5;0.25;0;1.67;66.7;1.67;1.67
Jean-Victor Makengo;CM;Udinese;522;0;0.02;0.02;1.38;100;1.72;0;0.34;1.03;75;3.1;5
Nemanja Maksimović;CM;Getafe;2728;0.03;0.06;0.12;1.85;49.1;1.29;0.04;0.59;0.43;59.1;0.46;5.64
Nikola Maksimović;CB;Napoli;1207;0;0.03;0.07;2.76;74;0.9;0.01;0;0.3;100;0.22;2.91
Adilson Malanda;CM;Nîmes;19;0;0;0;5;100;0;0;0;0;0;5;0
Filip Malbašić;W;Cádiz;860;0;0.06;0.06;0.94;16.1;2.81;0;0.42;0.52;41.7;1.46;4.38
Kévin Malcuit;FB;Fiorentina;207;0;0.04;0.04;0.87;66.7;2.17;0.04;0.43;2.17;45.5;1.74;3.48
Kévin Malcuit;FB;Napoli;33;0;0;0;2.5;33.3;0;0;5;2.5;50;0;5
Daniel Maldini;AM;Milan;29;0;0.33;0.15;0;0;3.33;0;3.33;3.33;100;0;23.3
Ruslan Malinovskyi;AM;Atalanta;1876;0.38;0.27;0.08;1.39;50.9;3.99;0.47;2.69;2.55;63.1;2.93;5.34
Yunus Mallı;AM;Wolfsburg;58;0;0;0;0;0;1.67;0.17;1.67;0;0;5;0
Hugo Mallo;FB;Celta Vigo;2602;0.1;0.05;0.08;2.15;52.1;1.21;0.08;0.93;0.62;52.9;0.62;4.12
Mickael Malsa;CM;Levante;2338;0.04;0.06;0.06;0.85;41.5;0.58;0.02;0.35;0.77;71.4;1.19;5.15
Dennis Man;W;Parma;699;0.26;0.27;0.11;1.15;50;4.1;0.04;1.15;1.67;76.5;1.79;2.95
Hianga Mananga Mbock;CM;Brest;458;0;0.04;0.06;1.37;53.8;0.39;0;0.2;1.37;77.8;1.18;4.51
Vincent Manceau;FB;Angers;2309;0;0;0.02;0.51;48.1;0.27;0.05;0.97;0.31;61.5;0.19;3.85
Gianluca Mancini;CB;Roma;2852;0.13;0.08;0.09;1.96;64.6;1.17;0.03;0.41;0.38;80;0.22;4.83
Steve Mandanda;GK;Marseille;3330;0;0;0;0;0;0;0;0.03;0.08;100;0;0.05
Reinildo Mandava;FB;Lille;2180;0;0.01;0.04;2.11;69.9;0.62;0.05;1.12;0.99;64.9;0.87;4.92
Aïssa Mandi;CB;Betis;2392;0.11;0.09;0.25;2.11;66.7;0.86;0;0.08;0.08;66.7;0.04;2.26
Rolando Mandragora;CM;Udinese;398;0;0.18;0.09;1.36;75;1.82;0.05;1.36;0.68;100;1.82;3.64
Rolando Mandragora;CM;Torino;1525;0.18;0.12;0.08;0.77;50;1.3;0.04;0.53;0.59;62.5;0.36;5.38
Mario Mandžukić;FW;Milan;212;0;0.33;0.17;5.42;52;2.92;0.04;0;0;0;0.42;8.33
Sadio Mané;W;Liverpool;2810;0.35;0.49;0.17;0.9;25.9;9.07;0.18;2.15;2.69;59.2;2.63;5.06
Niccolò Manfredini;GK;Benevento;90;0;0;0;0;0;0;0;0;0;0;0;0
Eliaquim Mangala;CB;Valencia;321;0;0.14;0.26;5;66.7;0.83;0;0;0.28;100;0.56;2.22
Orel Mangala;CM;Stuttgart;2109;0.04;0.06;0.05;0.38;40.9;1.79;0.06;0.51;2.65;72.9;2.44;3.08
Thomas Mangani;CM;Angers;2691;0.1;0.03;0.05;1.04;54.4;0.7;0.1;0.74;0.4;63.2;0.6;5.75
Vito Mannone;GK;Monaco;810;0;0;0;0;0;0;0;0;0;0;0;0
Kostas Manolas;CB;Napoli;2298;0;0.03;0.1;1.96;60.2;0.43;0.02;0.16;0.08;100;0;2.43
Javier Manquillo;FB;Newcastle Utd;825;0;0;0.02;1.85;63;0.76;0.02;0.43;0.43;28.6;0.87;3.59
Juan Manuel Ramos;FB;Spezia;294;0;0;0.03;1.52;71.4;0.61;0.06;0.91;0.91;75;1.21;3.03
Myziane Maolida;FW;Nice;1077;0.25;0.23;0.15;0.08;4;3.92;0.14;1.33;2.08;51;2.33;3.42
Faitout Maouassa;FB;Rennes;1170;0;0.06;0.03;1.08;53.8;1;0.09;0.85;1.77;60.5;0.85;4
Sekou Mara;FW;Bordeaux;229;0.4;0.2;0.12;6;71.4;4;0.16;0.4;2;83.3;3.2;4.8
Maranhão;FW;Valladolid;1177;0.31;0.29;0.12;3.21;31.6;3.44;0.05;0;1.15;45.5;1.6;4.27
Fernando Marçal;FB;Wolves;623;0;0.01;0.03;1.3;45;0.58;0.03;0.29;1.01;77.8;1.16;2.9
Fernando Marçal;FB;Lyon;78;0;0;0;8.89;88.9;0;0;2.22;0;0;0;1.11
Marcelo;CB;Real Madrid;1050;0;0.03;0.04;0.43;27.8;2.74;0.1;2.14;1.37;66.7;0.77;4.1
Marcelo;CB;Lyon;2907;0.09;0.04;0.06;3.62;71.8;1.24;0.02;0.22;0.09;75;0.09;2.07
Solly March;W;Brighton;1672;0.11;0.09;0.08;0.91;43.6;3.17;0.09;1.83;1.88;64.8;1.4;3.82
Federico Marchetti;GK;Genoa;334;0;0;0;0;0;0;0;0;0;0;0;0
Riccardo Marchizza;FB;Spezia;1561;0;0.03;0.08;1.56;62.8;1.68;0.06;0.69;0.64;57.9;0.98;2.89
Gian Marco Ferrari;CB;Sassuolo;3014;0;0.05;0.07;2.42;63.8;1.22;0.03;0.42;0.15;45.5;0.39;2.36
Iván Marcone;CM;Elche;2645;0;0;0.04;0.88;61.9;0.31;0.02;0.2;0.51;78.9;0.48;4.18
Óscar de Marcos;FB;Athletic Club;1520;0.06;0.08;0.21;0.65;40.7;1.54;0.11;0.89;0.41;53.8;0.36;3.14
Dario Maresic;CB;Reims;514;0;0;0;2.11;70.6;0;0;0;0;0;0.18;2.11
José Mari;CM;Cádiz;1451;0.06;0.02;0.02;1.86;51.7;0.31;0.02;0.19;1.3;65.6;0.5;5.59
Pablo Marí;CB;Arsenal;900;0;0;0.02;2.9;64.4;0.3;0;0;0.3;100;0;2.7
José María Giménez;CB;Atlético Madrid;1765;0;0.05;0.06;2.96;69.9;1.28;0.01;0.15;0.05;50;0.1;1.63
Mariano;FW;Real Madrid;513;0.18;0.26;0.1;3.51;60.6;5.09;0.04;0.53;2.11;66.7;2.11;4.21
Jordan Marié;CM;Dijon;1432;0;0.03;0.05;0.88;51.9;0.25;0.04;0.25;0.88;77.8;1.01;6.73
Adrián Marín;FB;Alavés;93;0;0.1;0.07;3;75;0;0.5;1;0;0;1;6
Adrián Marín;FB;Granada;269;0;0.03;0.09;1.67;55.6;0;0.03;0.67;1;100;0.33;2.33
Răzvan Marin;CM;Cagliari;2965;0.09;0.05;0.06;0.46;40.5;1.34;0.15;1.12;0.97;54.2;1.19;4.74
Guillermo Maripán;CB;Monaco;2089;0.22;0.09;0.16;2.28;62.4;1.16;0;0.22;0.04;100;0.09;2.5
Marlon;CB;Sassuolo;1742;0;0.02;0.09;2.01;59.1;0.41;0.01;0.05;0.26;71.4;0.05;2.16
Omar Marmoush;FW;Wolfsburg;1;0;0;0;0;0;1;0;0;0;0;0;0
Marquinhos;CB;Paris Saint-Germain;2128;0.13;0.06;0.1;2.2;59.8;1.14;0.03;0.47;0.08;50;0.17;2.71
Luca Marrone;CB;Crotone;1588;0;0.02;0.07;1.25;61.1;0.23;0;0.06;0.06;50;0.11;3.58
Roger Martí;FW;Levante;2198;0.49;0.26;0.15;0.74;24.3;4.51;0.1;0.53;0.61;65.2;1.15;3.32
Anthony Martial;FW;Manchester Utd;1480;0.24;0.4;0.15;0.91;39.5;7.38;0.12;0.91;2.07;65.4;2.87;2.56
Aarón Martín;FB;Celta Vigo;1540;0;0.01;0.03;0;0;0.99;0.14;1.38;0.88;62.5;0.64;2.92
Aarón Martín;FB;Mainz 05;262;0;0;0.04;0.99;38.6;0.34;0.07;0.53;1.72;71.4;0.34;3.1
Álex Martín;CB;Cádiz;96;0;0;0;1.82;50;0;0;0;0;0;0;1.82
Jonas Martin;CM;Rennes;482;0;0;0;1.85;66.7;0.74;0.04;0.74;0.74;66.7;1.67;5.19
Martinelli;W;Arsenal;589;0.31;0.52;0.17;0.92;30;6.77;0.32;1.08;2.46;55.2;1.85;4.46
Lucas Martínez Quarta;CB;Fiorentina;1483;0.06;0.08;0.11;1.88;50;1.15;0.02;0.3;0.79;65;0.48;5.15
Emiliano Martínez;GK;Aston Villa;3420;0;0;0;0;0;0;0.01;0.03;0;0;0;0.03
Iñigo Martínez;CB;Athletic Club;2519;0.04;0.05;0.08;2.82;63.2;0.68;0.02;0.14;0.21;75;0.18;2.39
Javi Martínez;CM;Osasuna;460;0.2;0.12;0.19;1.18;54.5;1.76;0.1;0.59;0.98;62.5;0.98;6.08
Javi Martínez;CM;Bayern Munich;466;0;0.06;0.14;3.85;74.1;1.15;0.04;0.38;0;0;0.58;4.62
Josep Martinez;GK;RB Leipzig;90;0;0;0;0;0;0;0;0;0;0;0;0
Lautaro Martínez;FW;Inter;2561;0.6;0.49;0.13;1.12;34.4;7.3;0.16;0.81;1.3;50.7;1.93;4.67
Pablo Martinez;CM;Nîmes;540;0;0;0;1.33;53.3;0.33;0.02;0;0;0;0.33;2.33
Gelson Martins;W;Monaco;1551;0.17;0.16;0.1;0.58;29.4;5.58;0.16;1.16;2.5;58.1;3.08;5.76
Adam Marušić;W;Lazio;2966;0.06;0.06;0.08;1.3;63.2;2;0.07;0.85;0.82;50;0.7;2.82
Sylvain Marveaux;AM;Lorient;200;0;0.36;0.17;0.91;66.7;1.82;0;0;1.82;100;3.18;6.82
Marvin;W;Real Madrid;133;0;0.13;0.16;3.33;100;2;0.13;0.67;0;0;2;7.33
Omar Mascarell;CM;Schalke 04;1762;0.05;0.02;0.03;1.68;56.9;0.2;0.03;0.36;0.71;70;0.56;5.61
Andrea Masiello;CB;Genoa;2563;0;0.01;0.09;1.37;47.6;0.39;0.01;0.39;0.07;66.7;0.11;2.95
Jordi Masip;GK;Valladolid;2250;0;0;0;0;0;0.04;0;0;0;0;0;0
Roberto Massimo;W;Stuttgart;757;0;0.2;0.11;1.31;47.8;4.05;0.17;1.07;2.38;50;2.26;5.83
Giuseppe Mastinu;W;Spezia;32;0;0;0;0;0;2.5;0;0;2.5;50;0;10
Arthur Masuaku;FB;West Ham;1006;0;0.03;0.05;0.89;37;1.07;0.17;1.43;2.68;63.8;1.52;3.75
Jaime Mata;FW;Getafe;2037;0.22;0.23;0.13;3.98;41.5;4.82;0.05;0.44;0.4;45;1.28;3.1
Juan Mata;AM;Manchester Utd;509;0.18;0.05;0.08;0.18;25;2.98;0.14;0.7;0.53;75;1.93;2.46
Pape Matar Sarr;CM;Metz;1594;0.17;0.06;0.03;1.36;63.2;0.9;0.04;0.56;1.02;60;0.96;6.61
Eliot Matazo;CM;Monaco;314;0.29;0.37;0.43;0.86;37.5;1.43;0.14;0.57;0.86;42.9;0.57;6
Jean-Philippe Mateta;FW;Crystal Palace;221;0.4;0.08;0.05;5.2;50;3.2;0;0;0.4;50;2.4;1.6
Jean-Philippe Mateta;FW;Mainz 05;997;0.63;0.6;0.25;2.07;41.8;4.95;0.14;0.36;1.35;60;3.15;2.88
Nemanja Matić;CM;Manchester Utd;1106;0;0.02;0.05;1.54;70.4;0.73;0.03;0.81;1.22;83.3;0.81;4.55
Joël Matip;CB;Liverpool;691;0.13;0.08;0.13;3.12;68.6;0.78;0.13;0.13;0;0;0.26;3.12
Rabbi Matondo;W;Schalke 04;220;0;0;0;0.42;33.3;1.25;0.04;1.25;0.83;25;1.67;7.08
Ryder Matos;AM;Udinese;13;0;0;0;0;0;10;0;10;0;0;10;0
Henning Matriciani;FB;Schalke 04;24;0;0;0;0;0;0;0;0;0;0;0;6.67
Chrislain Matsima;CB;Monaco;352;0;0.03;0.04;2.31;50;1.28;0.03;0.51;1.03;80;0.51;2.56
Federico Mattiello;FB;Spezia;36;0;0;0;2.5;33.3;0;0;0;0;0;0;2.5
Neal Maupay;FW;Brighton;2512;0.29;0.35;0.15;0.93;27.7;6.13;0.13;1;0.86;58.5;2.26;5.23
Tony Mauricio;AM;Lens;502;0;0.13;0.05;0.36;33.3;1.43;0.25;1.07;1.25;63.6;1.96;6.25
Stephy Mavididi;W;Montpellier;2030;0.4;0.22;0.16;0.66;23.8;3.76;0.05;0.35;1.42;42.1;2.3;3.19
Konstantinos Mavropanos;CB;Stuttgart;1463;0;0.09;0.08;3.01;75.4;1.29;0.02;0.37;0.74;70.6;0.55;2.21
Eric Maxim Choupo-Moting;FW;Bayern Munich;820;0.33;0.35;0.17;1.65;44.1;5.71;0.18;0.66;1.98;75;2.2;4.18
Borja Mayoral;FW;Roma;1551;0.58;0.48;0.2;0;0;5.12;0;0;0.87;60;1.8;4.3
Borja Mayoral;FW;Real Madrid;23;0;0;0;0.93;20.5;10;0.1;0.64;0;0;6.67;3.33
Youssef Maziz;W;Metz;257;0;0.14;0.07;1.03;60;1.03;0.14;1.38;2.07;75;1.72;3.1
Antonio Mazzotta;W;Crotone;56;0;0;0;1.67;100;1.67;0;0;1.67;100;0;1.67
Kevin Mbabu;FB;Wolfsburg;1642;0;0.03;0.05;2.09;57.6;1.54;0.07;1.65;1.92;54.7;1.1;5.88
Kylian Mbappé;FW;Paris Saint-Germain;2380;1.02;0.76;0.2;0.27;46.7;10.5;0.17;1.36;3.33;46.6;2.46;2.16
Ibrahima Mbaye;FB;Bologna;428;0.21;0.1;0.55;2.92;60.9;0.63;0;0;0.63;42.9;0.42;2.5
Jean-Manuel Mbom;CM;Werder Bremen;1160;0;0.05;0.08;2.64;58.6;1.24;0.05;0.47;0.62;50;1.4;6.12
Nathanael Mbuku;W;Reims;2210;0.16;0.13;0.09;1.1;39.7;2.36;0.1;1.26;1.46;72;1.99;4.07
James McArthur;CM;Crystal Palace;1466;0;0.01;0.04;1.23;50;1.17;0.06;0.37;1.04;77.3;0.86;6.26
Oliver McBurnie;FW;Sheffield Utd;1324;0.07;0.21;0.1;9.52;54.3;3.95;0.07;1.09;0.61;42.9;1.7;4.22
Alex McCarthy;GK;Southampton;2700;0;0;0;0;0;0;0;0.07;0.07;100;0;0.03
James McCarthy;CM;Crystal Palace;821;0;0;0.01;0.77;46.7;0.11;0.03;0.44;0.33;60;0.22;4.62
John McGinn;CM;Aston Villa;3330;0.08;0.06;0.05;0.73;35.1;1.57;0.08;1.19;1.51;74.7;1.57;4.54
David McGoldrick;FW;Sheffield Utd;2397;0.3;0.27;0.1;3.53;41.4;3.8;0.05;0.9;1.69;57;1.99;3.95
Weston McKennie;CM;Juventus;1702;0.26;0.22;0.14;1.8;54.8;4.29;0.15;0.9;0.69;59.1;1.48;5.56
Dwight McNeil;W;Burnley;3069;0.06;0.03;0.04;0.65;42.3;1.5;0.19;1.2;1.94;57.9;1.82;4.05
Scott McTominay;CM;Manchester Utd;2129;0.17;0.09;0.08;2.07;59;1.52;0.04;0.38;0.93;68.8;1.27;4.51
Gary Medel;CM;Bologna;511;0;0;0;1.4;50;0.18;0.04;0.18;0.35;100;0.35;3.51
Facundo Medina;CB;Lens;2007;0.09;0.04;0.09;1.43;53.3;0.54;0.01;0.18;0.4;60;0.58;3.5
Nathan de Medina;FB;Arminia;639;0;0;0;0.56;17.4;0.42;0.08;0.56;0.7;50;2.39;7.18
Ben Mee;CB;Burnley;2693;0.07;0.05;0.07;4.28;69.2;1.47;0.01;0.03;0.1;60;0.1;1.67
Joshua Mees;W;Union Berlin;5;0;1;0.06;20;100;20;0;0;0;0;0;0
Admir Mehmedi;AM;Wolfsburg;820;0;0.1;0.11;0.55;19.2;4.07;0.22;1.87;0.99;75;1.65;8.68
Soualiho Meïté;CM;Torino;920;0.1;0.06;0.07;0.98;55.6;0.98;0.03;0.49;2.35;66.7;1.67;3.73
Soualiho Meïté;CM;Milan;588;0;0.06;0.06;2;61.9;0.77;0.06;0.62;2;81.3;1.08;7.23
Hannibal Mejbri;AM;Manchester Utd;9;0;0;0;0;0;0;0;0;30;100;10;10
Farid El Melali;W;Angers;414;0;0.3;0.11;0.22;10;4.35;0.02;0.87;4.78;57.9;4.78;5.43
Filippo Melegoni;CM;Genoa;389;0;0.09;0.1;0.7;75;1.16;0.09;0.93;2.09;60;1.63;4.88
Gonzalo Melero;CM;Levante;1853;0.34;0.15;0.11;2.09;44.3;2.04;0.08;0.53;0.78;61.5;0.63;4.03
Birger Meling;FB;Nîmes;2328;0.08;0.03;0.06;0.77;45.5;1.58;0.1;0.66;0.73;70.4;0.85;4.25
Arthur Melo;CM;Juventus;1157;0.08;0.02;0.05;0.08;16.7;0.78;0.07;0.47;1.24;88.9;1.16;4.81
Houboulang Mendes;FB;Lorient;1297;0;0.01;0.02;1.39;52.6;0.83;0.02;0.56;0.49;38.9;1.53;3.89
Pedro Mendes;CB;Montpellier;1626;0.11;0.05;0.12;1.49;42.9;0.39;0.01;0.11;0.17;100;0.22;3.43
Thiago Mendes;CM;Lyon;2243;0;0.06;0.07;1.04;54.2;0.72;0.06;0.96;0.6;68.2;0.6;5.66
Brais Méndez;W;Celta Vigo;2671;0.3;0.23;0.14;0.91;28.7;2.69;0.07;1.11;0.57;31.5;1.89;5.99
Édgar Méndez;W;Alavés;2090;0.22;0.23;0.16;2.67;51.7;2.84;0.06;0.82;1.12;54.2;1.47;4.27
Eñaut Mendía;FW;Eibar;61;0;0;0.01;0;0;1.43;0;0;0;0;1.43;2.86
Batista Mendy;CM;Nantes;76;0;0;0;2.5;100;0;0;0;2.5;100;2.5;3.75
Benjamin Mendy;FB;Manchester City;953;0.19;0.04;0.07;1.04;45.8;1.51;0.04;0.94;1.32;82.4;0.75;3.96
Edouard Mendy;GK;Chelsea;2745;0;0;0;0;0;0;0.1;0;0.03;100;0;0
Edouard Mendy;GK;Rennes;90;0;0;0;0;0;0;0;0;0;0;0;0
Ferland Mendy;FB;Real Madrid;2208;0.04;0.02;0.05;0.41;33.3;2.16;0.07;1.06;1.47;58.1;1.31;2.78
Nampalys Mendy;CM;Leicester City;1459;0;0.01;0.02;0.74;41.4;0.06;0.02;0;0.37;42.9;0.93;5.19
Hamza Mendyl;FB;Schalke 04;95;0;0.09;0.05;1.82;28.6;1.82;0;0;1.82;100;2.73;6.36
Levent Mercan;AM;Schalke 04;5;0;0;0;0;0;0;0;0;0;0;0;0
