Player;Pos;Squad;Min;Save %;Expected Post-Shot xG;Expected Post-Shot xG/Shots on Target;Crosses Stopped %;Passes Launched %
Pepe Reina;GK;Lazio;2610;68.9;1.25;0.28;5;34.7
Álex Remiro;GK;Real Sociedad;3420;65;0.85;0.3;5.8;42.7
Baptiste Reynet;GK;Nîmes;3420;66.1;1.67;0.29;5.2;46.3
Sergio Rico;GK;Paris S-G;810;75;1.1;0.28;5.2;13
Roberto;GK;Valladolid;1170;65.1;1.2;0.33;7.8;67.8
Joel Robles;GK;Betis;1620;62.5;1.19;0.31;6.9;52.6
Marek Rodák;GK;Fulham;180;50;2;0.45;12.5;28.2
Rubén;GKMF;Osasuna;187;44.4;2.33;0.55;5.3;84.8
John Ruddy;GK;Wolves;91;75;1.1;0.28;0;26.3
Gerónimo Rulli;GK;Villarreal;180;50;1.35;0.34;0;29.9
Mathew Ryan;GK;Brighton;990;50;1.35;0.37;6.8;33.4
Mathew Ryan;GK;Arsenal;270;88.9;1.4;0.36;20;13.8
Frederik Rønnow;GK;Schalke 04;945;68.8;2.14;0.31;4.2;33.6
Romain Salin;GK;Rennes;1350;74.1;1.01;0.28;8;35.9
Robert Sánchez;GK;Brighton;2430;71.3;1.14;0.34;5.2;40.5
Kasper Schmeichel;GK;Leicester City;3420;65.7;1.28;0.34;8.1;42.4
Alexander Schwolow;GK;Hertha BSC;2340;68;1.42;0.31;6.2;33.6
Simone Scuffet;GK;Udinese;90;66.7;1.6;0.23;0;70
Matz Sels;GK;Strasbourg;540;56;1.67;0.34;11.1;57.6
Luigi Sepe;GK;Parma;3240;58.2;1.69;0.35;6;44.2
Rui Silva;GK;Granada;2880;61.2;1.59;0.35;4.2;66.3
Marco Silvestri;GK;Hellas Verona;3060;71.2;1.1;0.26;3.5;68.6
Unai Simón;GK;Athletic Club;3330;66.3;0.96;0.29;6;42.4
Tobias Sippel;GK;M'Gladbach;344;68.4;1.87;0.37;5.4;51.5
Salvatore Sirigu;GK;Torino;2880;58.1;1.47;0.31;6;45.2
Antonio Sivera;GK;Alavés;71;100;0;0.01;14.3;66.7
Łukasz Skorupski;GK;Bologna;2520;71.3;1.6;0.28;10.4;33.7
Yann Sommer;GK;M'Gladbach;2712;64.5;1.44;0.31;5.8;32
David Soria;GK;Getafe;2520;66.7;1.05;0.32;9.6;87.9
Marco Sportiello;GK;Atalanta;1261;58.3;1.15;0.3;8;23.8
Zack Steffen;GK;Manchester City;90;50;0.6;0.32;0;25
Thomas Strakosha;GK;Lazio;810;67.6;1.47;0.31;9.1;34.3
Wojciech Szczęsny;GK;Juventus;2677;70.5;0.95;0.25;7.1;21
Ciprian Tătărușanu;GK;Milan;90;66.7;2.9;0.35;33.3;13
Marc-André ter Stegen;GK;Barcelona;2790;71.6;0.94;0.27;10.9;22.2
Pietro Terracciano;GK;Fiorentina;272;60;1.07;0.22;0;67.3
Kevin Trapp;GK;Eint Frankfurt;2970;66.4;1.35;0.29;8.4;46.1
Samir Ujkani;GK;Torino;90;66.7;1;0.33;6.3;31.8
Tomáš Vaclík;GK;Sevilla;450;64.3;0.7;0.26;5;28.3
Koke Vegas;GK;Levante;90;50;2.6;0.64;0;44.4
Guglielmo Vicario;GK;Cagliari;360;71.4;1.25;0.24;5;50
Iván Villar;GK;Celta Vigo;1781;66.7;1.42;0.32;8.5;50
João Virgínia;GK;Everton;48;100;0.4;0.07;0;61.5
Rubén Yáñez;GK;Getafe;900;63.3;1.16;0.35;6.9;70.2
Yoel;GK;Eibar;300;40;0.67;0.44;9.1;58.8
Robin Zentner;GK;Mainz 05;2790;69.6;1.31;0.28;9.5;43.3
Ron-Robert Zieler;GK;Köln;51;100;1.17;0.01;0;35.3
Jeroen Zoet;GK;Spezia;603;65.4;1.73;0.34;10;41.7
